,d40_baseline,d40_vol_scaled,d40_resid_250d,d40_deep_only,d40_bounce_conf,d40_low_vol_surrender,p_top1_conviction,p_top3_diversified
2022-11-16,-0.006742799855583977,-0.004733577194187395,-0.007914834099367107,3.325411449413762e-05,3.325411449413762e-05,-0.0026998929759741346,0.005010438413361129,-0.006742799855583977
2022-11-17,-0.004412424095593468,-0.015930223046003555,-0.00706483298217342,-0.014964733229770728,-0.014964733229770728,-0.013231770464936102,-0.03531366846697137,-0.004412424095593468
2022-11-18,-0.01258596986659673,-0.00731738490178102,-0.015596722554768775,-0.0038149901290465502,-0.0038149901290465502,-0.002844686561681723,-0.012919896640826933,-0.01258596986659673
2022-11-21,-0.008937464472284199,-0.004248234128984081,-0.002671342036144793,-0.013839033507154578,-0.013839033507154578,0.00096112502213123,-0.004363001745200545,-0.008937464472284199
2022-11-22,-0.004872565244847878,-0.0083697333539939,-0.00828763418075821,-0.0028985798334651607,-0.0028985798334651607,-0.008145675671584677,0.0035056967572304476,-0.004872565244847878
2022-11-23,0.001841801870588688,0.007930533026673162,0.0041516454165735715,0.0043439040116171794,0.0043439040116171794,0.0025766189904723826,0.012227074235807711,0.001841801870588688
2022-11-24,0.0003254007443047604,0.009031053487089213,0.005226590103624436,-0.0001762023170252718,-0.0001762023170252718,0.007350889874680873,0.007765314926660993,0.0003254007443047604
2022-11-25,0.005553727901802565,0.004371637167473055,0.001308256528303537,0.007211711983045561,0.007211711983045561,0.006334712567156748,0.023544520547945202,0.005553727901802565
2022-11-28,-0.011148560154998911,-0.009508899661171744,-0.011448579356227784,-0.00639270022440778,-0.00639270022440778,-0.010472079747247582,-0.013801756587201841,-0.011148560154998911
2022-11-29,0.01900887141293054,0.018005772884654547,0.017297658400403943,0.026048862590465866,0.026048862590465866,0.018278920115488186,0.017387616624257918,0.01900887141293054
2022-11-30,0.0012530733381589014,0.0027403234271163495,0.0019587737531616316,0.0026793445639148312,0.0026793445639148312,0.0006446452319955882,0.012922050854522693,0.0012530733381589014
2022-12-01,0.005138284743631205,0.006545740064411257,0.007374533510080401,0.011833125818088226,0.011833125818088226,-0.001088429486554669,-0.009876543209876631,0.005138284743631205
2022-12-02,-0.007571495647291944,-0.003637225090160179,-0.005549250472865586,-0.003955492168274732,-0.003955492168274732,-0.005596749512198537,-0.012468827930174564,-0.007571495647291944
2022-12-05,0.01341565913009816,0.012763568604589862,0.008655116566509042,0.017670585325952594,0.017670585325952594,0.009889277137037206,0.016414141414141437,0.01341565913009816
2022-12-06,0.006809440239115375,0.0036885973951229127,0.009432279091280488,0.009649849258014079,0.009649849258014079,-0.0060922712250001485,-0.001242236024844745,0.006809440239115375
2022-12-07,-0.008662140821113384,-0.0036305515198611364,-0.00847411450295906,-0.003934593236422905,-0.003934593236422905,-0.0056929226275230045,-0.02031509121061359,-0.008662140821113384
2022-12-08,-0.006006740394686997,-0.0011659635042206757,-0.007202409688721692,-0.00033780615432417904,-0.00033780615432417904,-0.0024093071444018324,-0.0021159542953871346,-0.006006740394686997
2022-12-09,0.013826296723683518,0.013302501631940356,0.008336604069667668,0.01913338311634675,0.01913338311634675,0.013179644163756943,0.004513146734520635,0.013492963390350183
2022-12-12,-0.014976751489423196,-0.014976751489423196,-0.014976751489423196,-0.01737329177394716,-0.00800383866962188,-0.0018829166556492507,-0.014154870940882747,-0.004695007843536603
2022-12-13,0.0011846392382920412,0.0011846392382920412,0.0011846392382920412,-0.010812753147658763,-0.006672431633484077,-0.009783813402753026,-0.026182432432432345,-0.0016659338774154247
2022-12-14,-0.00016676504559846438,-0.00016676504559846438,-0.00016676504559846438,-0.008046494866505216,-0.007967160201963048,-0.006004226058252978,-0.009540329575021822,-0.003887823941850869
2022-12-15,-0.004620515316141235,-0.004620515316141235,-0.004620515316141235,0.016309733818215138,0.018420993841218834,-0.0006531337524585308,0.014010507880910739,0.00036036237369004454
2022-12-16,-0.009160625705702195,-0.009160625705702195,-0.009160625705702195,-0.023412107408160687,-0.018866508374497843,-0.001463950722482103,-0.025906735751295318,-0.008461077159263697
2022-12-19,-0.017799418259024903,-0.017799418259024903,-0.017799418259024903,-0.005559694707043057,-0.010810931803793592,-0.02340625876507585,-0.004432624113475114,-0.018352880630971288
2022-12-20,-0.00877435562090112,-0.00877435562090112,-0.00877435562090112,-0.006346255536563464,-0.007996427539241013,-0.008915977335691789,0.0017809439002671734,-0.011793973591171512
2022-12-21,-0.006280937242434909,-0.006280937242434909,-0.006280937242434909,-0.013722439033327814,-0.00890208927180162,-0.008006613855034204,-0.02399999999999991,-0.003752129770101493
2022-12-22,-0.012848541560658584,-0.012848541560658584,-0.012848541560658584,-0.021633449352132884,-0.014666163143734107,0.00015546559043929254,-0.02732240437158473,0.0006984868908876951
2022-12-23,-0.009642795957899372,-0.009642795957899372,-0.009642795957899372,-0.013608955211942386,-0.012751787576172048,0.0007259058204459969,-0.01872659176029967,-0.007204650389799413
2022-12-26,0.02552175645637737,0.02552175645637737,0.02552175645637737,0.04150701042870304,0.027770626167180623,0.020131682852828292,0.06583969465648853,0.022964285192009548
2022-12-27,0.02051502211931444,0.02051502211931444,0.02051502211931444,0.014308328457066422,0.010885603514645847,0.013681915631384765,0.0214861235452104,0.017958379547206395
2022-12-28,-0.004041532891415511,-0.004041532891415511,-0.004041532891415511,-0.007038369094582294,-0.01389373780619237,0.0037221687427861916,0.007887817703768452,-0.0016062208670623765
2022-12-29,-0.01124383819156031,-0.01124383819156031,-0.01124383819156031,-0.005114657860942969,-0.0033755274261603554,0.01086126627448151,-0.00521739130434784,0.0010909917983247248
2022-12-30,0.006687379579867943,0.006687379579867943,0.006687379579867943,-0.0035205230617634618,-0.0069216163504972235,0.0030215874042223145,0.006993006993007089,0.007617572917786308
2023-01-03,0.006855147738050885,0.006855147738050885,0.006855147738050885,0.015713603397012,0.011536872318106997,0.007935649258301702,0.01736111111111116,0.0038092772361881426
2023-01-04,-0.015270808924660038,-0.015270808924660038,-0.015270808924660038,-0.018460857497802352,-0.016373330879559018,-0.002692555761008352,-0.023890784982935176,-0.005867158935611515
2023-01-05,0.008071251986540537,0.008071251986540537,0.008071251986540537,0.022780697009996406,0.024061227246480923,0.025099751750695155,0.01573426573426584,0.01668077352524655
2023-01-06,0.018866221477387254,0.018532888144053922,0.018866221477387254,0.027071294871511425,0.010192924246152812,0.012831020463429026,0.05063511187607583,0.012056125163188509
2023-01-09,0.005282578033358668,0.000783253006777803,0.005282578033358668,0.007643395288940239,0.007643395288940239,0.0067341810045096935,0.008450704225352101,0.002998779415852508
2023-01-10,0.0018296832833998673,-0.0020651802945336195,0.0018296832833998673,0.003368136469294421,0.003368136469294421,0.002849313654819182,-0.010707635009311156,-0.00828106871175612
2023-01-11,0.006944921280711003,0.006748704492301361,0.006944921280711003,0.006519543731011785,0.006519543731011785,0.00928699778025725,0.04329411764705893,0.008240452564996208
2023-01-12,0.004492119775347655,0.005199647047754959,0.004492119775347655,0.00648103474262629,0.00648103474262629,-0.004904761916482739,-0.0036084799278304214,0.0008809793085150877
2023-01-13,-0.0011222020846225849,-0.0004164323786675084,-0.0011222020846225849,-8.311290698848062e-05,-8.311290698848062e-05,0.009911470599976583,-0.001810774105930224,-0.001955099758919017
2023-01-16,0.005636312274118907,0.006839925188055318,0.005636312274118907,0.007837815635956757,0.007837815635956757,0.01571390112413436,0.0022675736961450532,0.00980917433656921
2023-01-17,-0.00029366764364457953,0.0005819226295361581,-0.00029366764364457953,0.0032616852277250756,0.0032616852277250756,0.0009470966242222834,-0.009954751131221573,0.0019130821930255877
2023-01-18,0.003993737733168615,0.004678102388121496,0.003993737733168615,0.0048004210321441745,0.0048004210321441745,0.0007832725231354809,0.008683729433272225,0.004120066673835835
2023-01-19,0.002580763674709792,0.009966138969323302,0.002580763674709792,0.008074522123538614,0.008074522123538614,0.015547086025522608,0.009515178975985528,0.009882776831999413
2023-01-20,0.019534178260798285,0.013786621412996986,0.019534178260798285,0.011319938376831797,0.011319938376831797,0.005978354681311951,0.017504488330341017,0.0199544035630211
2023-01-30,0.0070536192260637325,0.012651134203608637,0.0070536192260637325,0.013042356951333156,0.013042356951333156,-0.007565382407749029,-0.012792236435818394,0.008263868523480156
2023-01-31,0.0038527645965520385,0.0010635892455806615,0.0038527645965520385,-0.006642182215607639,-0.006642182215607639,-0.009461920120979867,0.0044682752457554376,0.005731686033440282
2023-02-01,0.005637803295687119,0.011991984660587521,0.005637803295687119,0.014559110137996932,0.014559110137996932,0.010784892819879191,0.0031138790035585284,0.01633484180344465
2023-02-02,-0.004010929453709511,-0.005983785781320675,-0.004010929453709511,0.0012695046854700096,0.0012695046854700096,0.008234066519016148,0.0057649667405765825,-0.005255435629720195
2023-02-03,-0.015746302029765125,-0.004774236865944469,-0.015746302029765125,-0.010193894576226065,-0.010193894576226065,-0.004949458074190634,-0.012345679012345512,-0.00411100921534883
2023-02-06,-0.006697549288409784,-0.007937648140868243,-0.006697549288409784,-0.00960521080475692,-0.00960521080475692,-0.006229131685098347,0.0,-0.005971291083650687
2023-02-07,0.00033602073185538356,-0.0008441141920924783,0.00033602073185538356,-0.00026424384357526254,-0.00026424384357526254,-0.0033715955177960515,-0.0008928571428573617,0.00128433119411638
2023-02-08,-0.0032640589868381253,-0.007445598556490888,-0.0032640589868381253,-0.005584721836689455,-0.005584721836689455,-0.0038484580443155867,-0.006255585344057013,-0.011384154879250966
2023-02-09,0.00857773073387147,0.011054163815286712,0.00857773073387147,0.01277131595373985,0.01277131595373985,0.018596579723564027,0.003147482014388414,0.011587350959447072
