round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,method,k,dp_pool,dp_dxy,dp_rmb,selective
63,M6 top-2 + DP pool=511260|162411 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1956544864045191,0.15928458192661887,1.228332862088658,1.5727241424205336,-0.16576135382788504,1.1803383713170743,1.4812614666514792,0.47679640718562877,38.00479041916167,2672,,,511260|162411,0.02,0.01,
63,M6 top-2 + DP pool=511260|162411 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20251503346981337,0.15658521204443593,1.2933215775979114,1.620607123308646,-0.1660589920493567,1.2195366897663757,1.5428051922223205,0.47604790419161674,35.23832335329341,2672,,,511260|162411,0.04,0.02,
63,M6 top-2 + DP pool=511260|162411 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20309107436006135,0.15149843302220967,1.340549009706841,1.6914543915042353,-0.1614675873175755,1.2577823062446616,1.5934497942428214,0.4726796407185629,36.43293413173653,2672,,,511260|162411,0.06,0.03,
63,M6 top-2 + DP pool=511880|162411 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19269918813365638,0.15918488060256902,1.2105370020332602,1.5719982288020458,-0.16502605754163902,1.1676894607085608,1.4614390980366172,0.47604790419161674,40.83413173652694,2672,,,511880|162411,0.02,0.01,
63,M6 top-2 + DP pool=511880|162411 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20155131450518882,0.15651904239882625,1.2877111399111159,1.6208285355938465,-0.16601231203133726,1.2140744986862362,1.536948646061815,0.4752994011976048,36.1814371257485,2672,,,511880|162411,0.04,0.02,
63,M6 top-2 + DP pool=511880|162411 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20138926252785172,0.1515629048581315,1.328750347694639,1.6860888885567482,-0.16146758731757538,1.2472426563961605,1.5797887318771788,0.4723053892215569,37.470359281437126,2672,,,511880|162411,0.06,0.03,
63,M6 top-2 + DP pool=511010|511260|511880 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.16812398514952243,0.14642773912548385,1.148170327245479,1.5001181347897448,-0.16146758731757516,1.0412243592818133,1.3386706480863626,0.4745508982035928,37.34461077844312,2672,,,511010|511260|511880,0.02,0.01,
63,M6 top-2 + DP pool=511010|511260|511880 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19318849448590125,0.14824863818033554,1.3031384089403848,1.6410313991495613,-0.16146758731757527,1.196453713685194,1.5351335587301425,0.47642215568862273,34.92395209580838,2672,,,511010|511260|511880,0.04,0.02,
63,M6 top-2 + DP pool=511010|511260|511880 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.195368662275071,0.1485104571821961,1.3155212500314921,1.665096269405509,-0.1614675873175755,1.2099559145007763,1.5575029674704381,0.47305389221556887,36.18143712574851,2672,,,511010|511260|511880,0.06,0.03,
63,M6 top-2 + selective-DP-gold pool=511260 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.19851122684876432,0.1492576354769597,1.3299904304018517,1.6764429780196854,-0.1614675873175755,1.229418424753763,1.5723705801117103,0.47305389221556887,35.77275449101796,2672,,,511260,0.02,0.01,gold-only
63,M6 top-2 + selective-DP-gold pool=511260|511880 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1986975029972553,0.14923387849467123,1.3314503717354655,1.6779901428127133,-0.1614675873175755,1.2305720689716864,1.5729589690786598,0.47342814371257486,35.77275449101796,2672,,,511260|511880,0.02,0.01,gold-only
63,M6 top-2 + selective-DP-gold pool=511260|511880|162411 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.1938240267884459,0.1502336768727651,1.29015032330333,1.6346129013794917,-0.1614675873175755,1.2003896881621916,1.5264275512706547,0.47380239520958084,35.83562874251497,2672,,,511260|511880|162411,0.02,0.01,gold-only
63,M6 top-2 + selective-DP-gold pool=511260 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.2082103808883975,0.1503819419557269,1.3845437702200676,1.7247249508649638,-0.16146758731757527,1.289487161772525,1.648368548284699,0.47380239520958084,35.01826347305389,2672,,,511260,0.04,0.02,gold-only
63,M6 top-2 + selective-DP-gold pool=511260|511880 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,0.20862986310423048,0.15036160117915665,1.387520892755371,1.7278631668984357,-0.16146758731757538,1.2920850962731987,1.65112247298855,0.47380239520958084,35.01826347305389,2672,,,511260|511880,0.04,0.02,gold-only
