round,label,rsrs_N,rsrs_M,rsrs_form,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,trend_ma_window,exclude_buckets
6,refine L=60 λs=0.7 rb=0.1,30.0,250.0,rsrs_skew,60.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.1,0.06349666160506229,0.14314322458648604,0.4435883136522336,1.1084044239099893,-0.28850446571665866,0.22008900779866125,0.624183274305083,0.4876497005988024,76.4315119760479,2672,200.0,
6,refine L=60 λs=0.7 rb=0.2,30.0,250.0,rsrs_skew,60.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.2,0.06349666160506229,0.14314322458648604,0.4435883136522336,1.1084044239099893,-0.28850446571665866,0.22008900779866125,0.624183274305083,0.4876497005988024,76.4315119760479,2672,200.0,
6,refine L=60 λs=0.7 rb=0.3,30.0,250.0,rsrs_skew,60.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.3,0.06349666160506229,0.14314322458648604,0.4435883136522336,1.1084044239099893,-0.28850446571665866,0.22008900779866125,0.624183274305083,0.4876497005988024,76.4315119760479,2672,200.0,
6,refine L=60 λs=0.7 rb=0.4,30.0,250.0,rsrs_skew,60.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.4,0.08672126458083462,0.14354997336873565,0.604118987595173,1.178071830452881,-0.24152158683077252,0.3590621679775473,0.842987169870776,0.49550898203592814,66.24588323353295,2672,200.0,
6,refine L=90 λs=0.0 rb=0.0,30.0,250.0,rsrs_skew,90.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.0,0.05797199595130498,0.13977010178633603,0.4147667863898797,1.0327024734025156,-0.34463466708813584,0.16821289756227395,0.5523234393163431,0.4943862275449102,70.58420658682634,2672,200.0,
6,refine L=90 λs=0.0 rb=0.1,30.0,250.0,rsrs_skew,90.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.1,0.05797199595130498,0.13977010178633603,0.4147667863898797,1.0327024734025156,-0.34463466708813584,0.16821289756227395,0.5523234393163431,0.4943862275449102,70.58420658682634,2672,200.0,
6,refine L=90 λs=0.0 rb=0.2,30.0,250.0,rsrs_skew,90.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.2,0.05797199595130498,0.13977010178633603,0.4147667863898797,1.0327024734025156,-0.34463466708813584,0.16821289756227395,0.5523234393163431,0.4943862275449102,70.58420658682634,2672,200.0,
6,refine L=90 λs=0.0 rb=0.3,30.0,250.0,rsrs_skew,90.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.3,0.05797199595130498,0.13977010178633603,0.4147667863898797,1.0327024734025156,-0.34463466708813584,0.16821289756227395,0.5523234393163431,0.4943862275449102,70.58420658682634,2672,200.0,
6,refine L=90 λs=0.0 rb=0.4,30.0,250.0,rsrs_skew,90.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.4,0.05614288970018633,0.14135703259764876,0.3971708281397538,0.9238494268043891,-0.3335552001822727,0.1683166374546306,0.5242663549846618,0.49850299401197606,62.1747754491018,2672,200.0,
6,refine L=90 λs=0.2 rb=0.0,30.0,250.0,rsrs_skew,90.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.0,0.07625900120317008,0.14348340873517643,0.5314830604834551,1.1677034279568075,-0.27507498977738554,0.2772298610821924,0.7397748097542416,0.4977544910179641,72.84767964071857,2672,200.0,
6,refine L=90 λs=0.2 rb=0.1,30.0,250.0,rsrs_skew,90.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.1,0.07625900120317008,0.14348340873517643,0.5314830604834551,1.1677034279568075,-0.27507498977738554,0.2772298610821924,0.7397748097542416,0.4977544910179641,72.84767964071857,2672,200.0,
6,refine L=90 λs=0.2 rb=0.2,30.0,250.0,rsrs_skew,90.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.2,0.07625900120317008,0.14348340873517643,0.5314830604834551,1.1677034279568075,-0.27507498977738554,0.2772298610821924,0.7397748097542416,0.4977544910179641,72.84767964071857,2672,200.0,
6,refine L=90 λs=0.2 rb=0.3,30.0,250.0,rsrs_skew,90.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.3,0.07625900120317008,0.14348340873517643,0.5314830604834551,1.1677034279568075,-0.27507498977738554,0.2772298610821924,0.7397748097542416,0.4977544910179641,72.84767964071857,2672,200.0,
6,refine L=90 λs=0.2 rb=0.4,30.0,250.0,rsrs_skew,90.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.4,0.08249776611765758,0.1444376450195958,0.571165267243627,1.1152402024499006,-0.2810935842527058,0.29348861282970906,0.7882520103444886,0.499625748502994,63.74663173652696,2672,200.0,
6,refine L=90 λs=0.3 rb=0.0,30.0,250.0,rsrs_skew,90.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.0,0.06729372127370037,0.14454856924656204,0.46554401489035074,1.0866710052871809,-0.27165695540203305,0.24771580456723602,0.6408580121374834,0.4898952095808383,72.47043413173651,2672,200.0,
6,refine L=90 λs=0.3 rb=0.1,30.0,250.0,rsrs_skew,90.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.1,0.06729372127370037,0.14454856924656204,0.46554401489035074,1.0866710052871809,-0.27165695540203305,0.24771580456723602,0.6408580121374834,0.4898952095808383,72.47043413173652,2672,200.0,
6,refine L=90 λs=0.3 rb=0.2,30.0,250.0,rsrs_skew,90.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.2,0.06729372127370037,0.14454856924656204,0.46554401489035074,1.0866710052871809,-0.27165695540203305,0.24771580456723602,0.6408580121374834,0.4898952095808383,72.47043413173652,2672,200.0,
6,refine L=90 λs=0.3 rb=0.3,30.0,250.0,rsrs_skew,90.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.3,0.06729372127370037,0.14454856924656204,0.46554401489035074,1.0866710052871809,-0.27165695540203305,0.24771580456723602,0.6408580121374834,0.4898952095808383,72.47043413173652,2672,200.0,
6,refine L=90 λs=0.3 rb=0.4,30.0,250.0,rsrs_skew,90.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.4,0.07814270230327303,0.14657127112809484,0.533137917832348,1.0620815959374443,-0.2852779425975439,0.27391778555243196,0.7228060727003464,0.49700598802395207,63.30651197604791,2672,200.0,
6,refine L=90 λs=0.5 rb=0.0,30.0,250.0,rsrs_skew,90.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.0,0.049660684311561454,0.14218352679381613,0.349271715446865,0.9718255535853031,-0.2962276176658485,0.1676436677405948,0.4818193411982271,0.48914670658682635,72.65905688622755,2672,200.0,
6,refine L=90 λs=0.5 rb=0.1,30.0,250.0,rsrs_skew,90.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.1,0.049660684311561454,0.14218352679381613,0.349271715446865,0.9718255535853031,-0.2962276176658485,0.1676436677405948,0.4818193411982271,0.48914670658682635,72.65905688622755,2672,200.0,
6,refine L=90 λs=0.5 rb=0.2,30.0,250.0,rsrs_skew,90.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.2,0.049660684311561454,0.14218352679381613,0.349271715446865,0.9718255535853031,-0.2962276176658485,0.1676436677405948,0.4818193411982271,0.48914670658682635,72.65905688622755,2672,200.0,
6,refine L=90 λs=0.5 rb=0.3,30.0,250.0,rsrs_skew,90.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.3,0.049660684311561454,0.14218352679381613,0.349271715446865,0.9718255535853031,-0.2962276176658485,0.1676436677405948,0.4818193411982271,0.48914670658682635,72.65905688622755,2672,200.0,
6,refine L=90 λs=0.5 rb=0.4,30.0,250.0,rsrs_skew,90.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.4,0.04623742636190031,0.14390375929762703,0.32130798102550173,0.851820596737213,-0.2948695714685702,0.15680636741057805,0.43686530239438587,0.49101796407185627,64.15531437125749,2672,200.0,
6,refine L=90 λs=0.7 rb=0.0,30.0,250.0,rsrs_skew,90.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.0,0.07851371972738863,0.14203707618198227,0.5527691912412674,1.1875352057209465,-0.26739151824129337,0.2936283104407899,0.7963260011888597,0.49139221556886226,72.09318862275448,2672,200.0,
6,refine L=90 λs=0.7 rb=0.1,30.0,250.0,rsrs_skew,90.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.1,0.07851371972738863,0.14203707618198227,0.5527691912412674,1.1875352057209465,-0.26739151824129337,0.2936283104407899,0.7963260011888597,0.49139221556886226,72.0931886227545,2672,200.0,
6,refine L=90 λs=0.7 rb=0.2,30.0,250.0,rsrs_skew,90.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.2,0.07851371972738863,0.14203707618198227,0.5527691912412674,1.1875352057209465,-0.26739151824129337,0.2936283104407899,0.7963260011888597,0.49139221556886226,72.0931886227545,2672,200.0,
6,refine L=90 λs=0.7 rb=0.3,30.0,250.0,rsrs_skew,90.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.3,0.07851371972738863,0.14203707618198227,0.5527691912412674,1.1875352057209465,-0.26739151824129337,0.2936283104407899,0.7963260011888597,0.49139221556886226,72.0931886227545,2672,200.0,
6,refine L=90 λs=0.7 rb=0.4,30.0,250.0,rsrs_skew,90.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.4,0.08463851368460706,0.14309970737928135,0.5914653162796154,1.1413766002572845,-0.2638369541213651,0.3207985551776546,0.8479753177038373,0.49288922155688625,63.84094311377246,2672,200.0,
6,refine L=120 λs=0.0 rb=0.0,30.0,250.0,rsrs_skew,120.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.0,0.07485449752472828,0.14142481428419182,0.5292882858188442,1.1455705907461224,-0.3115767694652254,0.2402441544445202,0.7042969785075424,0.4906437125748503,70.41130239520957,2672,200.0,
6,refine L=120 λs=0.0 rb=0.1,30.0,250.0,rsrs_skew,120.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.1,0.07485449752472828,0.14142481428419182,0.5292882858188442,1.1455705907461224,-0.3115767694652254,0.2402441544445202,0.7042969785075424,0.4906437125748503,70.41130239520959,2672,200.0,
6,refine L=120 λs=0.0 rb=0.2,30.0,250.0,rsrs_skew,120.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.2,0.07485449752472828,0.14142481428419182,0.5292882858188442,1.1455705907461224,-0.3115767694652254,0.2402441544445202,0.7042969785075424,0.4906437125748503,70.41130239520959,2672,200.0,
6,refine L=120 λs=0.0 rb=0.3,30.0,250.0,rsrs_skew,120.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.3,0.07485449752472828,0.14142481428419182,0.5292882858188442,1.1455705907461224,-0.3115767694652254,0.2402441544445202,0.7042969785075424,0.4906437125748503,70.41130239520959,2672,200.0,
6,refine L=120 λs=0.0 rb=0.4,30.0,250.0,rsrs_skew,120.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.4,0.08034500885423435,0.14121634130979424,0.5689497979414222,1.10872835756604,-0.297957797174063,0.2696523118920021,0.7492854882436208,0.4966317365269461,62.50486526946108,2672,200.0,
6,refine L=120 λs=0.2 rb=0.0,30.0,250.0,rsrs_skew,120.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.0,0.05401089359228406,0.1431967550776154,0.3771795915557522,0.9923322668730898,-0.3613395597665652,0.1494740670719157,0.4977792769171591,0.48952095808383234,72.29752994011976,2672,200.0,
