round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,two_stage_n,two_stage_k,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,sw_k,sw_power,vp_k,vp_vlb,adaptive_q_off,adaptive_q_on,rev_w,final_rebal,best_round_mech
17,refine wr=0.4 L=120 k=7,30,250,120,0.2,0.0,0.4,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.07588570015307994,0.14578245276223792,0.5205407009912556,1.0693097072270863,-0.31417308933542043,0.24154105723568875,0.7017478690521225,0.49101796407185627,65.80010688024647,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=180 k=3,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09865811161751714,0.1462380181949628,0.6746406497795076,1.2177390879888785,-0.2496027392643596,0.39526053242959897,0.905357735880907,0.49476047904191617,63.78604718377762,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=180 k=5,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09865811161751714,0.1462380181949628,0.6746406497795076,1.2177390879888785,-0.2496027392643596,0.39526053242959897,0.905357735880907,0.49476047904191617,63.78604718377762,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=180 k=7,30,250,180,0.2,0.0,0.4,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.09865811161751714,0.1462380181949628,0.6746406497795076,1.2177390879888785,-0.2496027392643596,0.39526053242959897,0.905357735880907,0.49476047904191617,63.78604718377762,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=252 k=3,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08452083018939471,0.13887483375260076,0.6086115670169928,1.180700439855404,-0.3338586125056848,0.25316354595451845,0.8174420636307997,0.4880239520958084,64.51941224138531,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=252 k=5,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08452083018939471,0.13887483375260076,0.6086115670169928,1.180700439855404,-0.3338586125056848,0.25316354595451845,0.8174420636307997,0.4880239520958084,64.51941224138531,2672,3.0,0.5,,,,,,,
17,refine wr=0.4 L=252 k=7,30,250,252,0.2,0.0,0.4,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08452083018939471,0.13887483375260076,0.6086115670169928,1.180700439855404,-0.3338586125056848,0.25316354595451845,0.8174420636307997,0.4880239520958084,64.51941224138531,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=120 k=3,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06933127534832706,0.1459749829617685,0.47495313197936956,1.0353939337946607,-0.29838346484707357,0.2323562915386765,0.6313337553158045,0.4936377245508982,67.40280158800988,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=120 k=5,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06933127534832706,0.1459749829617685,0.47495313197936956,1.0353939337946607,-0.29838346484707357,0.2323562915386765,0.6313337553158045,0.4936377245508982,67.40280158800988,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=120 k=7,30,250,120,0.2,0.0,0.5,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.06933127534832706,0.1459749829617685,0.47495313197936956,1.0353939337946607,-0.29838346484707357,0.2323562915386765,0.6313337553158045,0.4936377245508982,67.40280158800988,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=180 k=3,30,250,180,0.2,0.0,0.5,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.1044402914546736,0.14774142024224585,0.7069127349894628,1.2603226989283691,-0.1832898816673172,0.5698093670235402,0.9388655352631134,0.49513473053892215,64.96829672000437,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=180 k=5,30,250,180,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.1044402914546736,0.14774142024224585,0.7069127349894628,1.2603226989283691,-0.1832898816673172,0.5698093670235402,0.9388655352631134,0.49513473053892215,64.96829672000437,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=180 k=7,30,250,180,0.2,0.0,0.5,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.1044402914546736,0.14774142024224585,0.7069127349894628,1.2603226989283691,-0.1832898816673172,0.5698093670235402,0.9388655352631134,0.49513473053892215,64.96829672000437,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=252 k=3,30,250,252,0.2,0.0,0.5,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08789850811850375,0.13858391476075432,0.6342619796117622,1.2267900903832174,-0.29379581278307754,0.2991823038111272,0.8638125141539498,0.48914670658682635,66.11522633301735,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=252 k=5,30,250,252,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08789850811850375,0.13858391476075432,0.6342619796117622,1.2267900903832174,-0.29379581278307754,0.2991823038111272,0.8638125141539498,0.48914670658682635,66.11522633301735,2672,3.0,0.5,,,,,,,
17,refine wr=0.5 L=252 k=7,30,250,252,0.2,0.0,0.5,7,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.08789850811850375,0.13858391476075432,0.6342619796117622,1.2267900903832174,-0.29379581278307754,0.2991823038111272,0.8638125141539498,0.48914670658682635,66.11522633301735,2672,3.0,0.5,,,,,,,
18,final rev=0.0 rb=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,200,[],,,0.10117132510330773,0.14471386279065862,0.6991128780085222,1.2793044858006406,-0.20829421502741952,0.48571356189604065,0.9098790848072293,0.5067365269461078,66.81743123896312,2672,,,,,,,0.0,0.0,14.0
18,final rev=0.0 rb=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.2,rsrs_skew,200,[],,,0.10846535142215807,0.14487620811858504,0.7486760789140499,1.3144750634714486,-0.1886700883972635,0.5748942630152033,0.9797585460850041,0.5082335329341318,65.1073812903009,2672,,,,,,,0.0,0.2,14.0
18,final rev=0.0 rb=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],,,0.11581582628452969,0.14354932883940694,0.8068015867499905,1.331633973726873,-0.1829700946873707,0.6329768068515065,1.069562325102095,0.5033682634730539,60.37281882492755,2672,,,,,,,0.0,0.4,14.0
