round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,axis1,axis2,n_cells,dp_dxy,dp_rmb
49,refine k=5 wr=0.3 L=252 rb=0.2,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.2,rsrs_skew,M3,0.10303009721617529,0.148896141664261,0.6919594830636584,1.0285884311186164,-0.1725516447538119,0.5970971610451671,0.7810200801322895,0.3241017964071856,35.45164670658683,2672,,,,,
49,refine k=5 wr=0.3 L=252 rb=0.4,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,M3,0.12595274803820433,0.14963703352166963,0.8417217654877163,1.0991783392262204,-0.15834573670320795,0.7954287286829911,0.9034110377055405,0.3263473053892216,27.039071856287425,2672,,,,,
49,refine k=5 wr=0.4 L=120 rb=0.0,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,M3,0.12183643058381421,0.1565463162381452,0.7782772122115684,1.1289660755529307,-0.1611414565918129,0.7560837115456753,0.9928876267190476,0.32934131736526945,38.32814371257485,2672,,,,,
49,refine k=5 wr=0.4 L=120 rb=0.2,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,M3,0.12183643058381421,0.1565463162381452,0.7782772122115684,1.1289660755529307,-0.1611414565918129,0.7560837115456753,0.9928876267190476,0.32934131736526945,38.32814371257485,2672,,,,,
49,refine k=5 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,M3,0.14279965850717669,0.15203975100814351,0.9392258114098601,1.207258852812185,-0.15839640438083746,0.901533460089403,1.097238879873193,0.33682634730538924,28.24625748502994,2672,,,,,
49,refine k=5 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,M3,0.13159651035397157,0.15167743405570103,0.8676077042920236,1.1985934434873278,-0.16712948731763166,0.7873925329757685,0.9473635621170131,0.3304640718562874,34.414221556886226,2672,,,,,
49,refine k=5 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,M3,0.13159651035397157,0.15167743405570103,0.8676077042920236,1.1985934434873278,-0.16712948731763166,0.7873925329757685,0.9473635621170131,0.3304640718562874,34.414221556886226,2672,,,,,
49,refine k=5 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,M3,0.1383479663673235,0.15030518688100353,0.9204470533465585,1.1834144568056753,-0.17502947564355364,0.7904266744709229,0.9815142324349843,0.33308383233532934,27.01077844311377,2672,,,,,
49,refine k=5 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,M3,0.11127261775664854,0.15163522706180022,0.7338177276662662,1.0862362976781625,-0.17421775864956668,0.6386984806782514,0.8259385470968272,0.3244760479041916,37.45104790419162,2672,,,,,
49,refine k=5 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,M3,0.11127261775664854,0.15163522706180022,0.7338177276662662,1.0862362976781625,-0.17421775864956668,0.6386984806782514,0.8259385470968272,0.3244760479041916,37.45104790419162,2672,,,,,
49,refine k=5 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,M3,0.11359449894753593,0.15250350524629425,0.7448648394283135,1.0018720330321373,-0.1693338358036207,0.6708316646135234,0.800576469610987,0.3218562874251497,27.680389221556887,2672,,,,,
49,refine k=7 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,M3,0.14376304592872757,0.14854641020939013,0.9677988564387389,1.2603338960306205,-0.16698439233516438,0.8609370248218896,1.1267000201565145,0.33308383233532934,30.046706586826343,2672,,,,,
49,refine k=7 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.2,rsrs_skew,M3,0.14376304592872757,0.14854641020939013,0.9677988564387389,1.2603338960306205,-0.16698439233516438,0.8609370248218896,1.1267000201565145,0.33308383233532934,30.046706586826343,2672,,,,,
49,refine k=7 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M3,0.1411338228812704,0.15087439182123796,0.9354392165404148,1.1571149939851861,-0.16884433747252992,0.835881291572672,1.0439256217379274,0.33570359281437123,23.309730538922157,2672,,,,,
49,refine k=7 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,M3,0.1282261312516697,0.14765377185695056,0.8684243527208864,1.1430596265083266,-0.17480828177347763,0.7335243499380045,0.9666881516570301,0.3315868263473054,28.188772455089815,2672,,,,,
49,refine k=7 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.2,rsrs_skew,M3,0.1282261312516697,0.14765377185695056,0.8684243527208864,1.1430596265083266,-0.17480828177347763,0.7335243499380045,0.9666881516570301,0.3315868263473054,28.188772455089822,2672,,,,,
49,refine k=7 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M3,0.1524135881446067,0.14736581587160935,1.0342533459550427,1.253199688454404,-0.1718149840624663,0.8870797211097381,1.0837342029039894,0.33570359281437123,22.07245508982036,2672,,,,,
49,refine k=7 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,M3,0.10529284635184522,0.14513383652387216,0.7254879280651156,1.0240683274865208,-0.16839749121860126,0.6252637470421799,0.83391851012795,0.3263473053892216,30.746856287425146,2672,,,,,
49,refine k=7 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,7,-0.7,0.7,0.2,rsrs_skew,M3,0.10529284635184522,0.14513383652387216,0.7254879280651156,1.0240683274865208,-0.16839749121860126,0.6252637470421799,0.83391851012795,0.3263473053892216,30.746856287425146,2672,,,,,
49,refine k=7 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M3,0.11390500066434073,0.1449294474816672,0.7859341399804143,1.0235776654827202,-0.1650355272181615,0.6901847292175398,0.8337351847456591,0.3282185628742515,24.51691616766467,2672,,,,,
49,refine k=7 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.0,rsrs_skew,M3,0.13065700382938594,0.1485932270783072,0.8792931306386594,1.1940131788024984,-0.1652171695967075,0.7908197686010335,1.0233617289953372,0.33270958083832336,32.49880239520957,2672,,,,,
49,refine k=7 wr=0.3 L=120 rb=0.2,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.2,rsrs_skew,M3,0.13065700382938594,0.1485932270783072,0.8792931306386594,1.1940131788024984,-0.1652171695967075,0.7908197686010335,1.0233617289953372,0.33270958083832336,32.49880239520957,2672,,,,,
49,refine k=7 wr=0.3 L=120 rb=0.4,30,250,120,0.2,0.0,0.3,7,-0.7,0.7,0.4,rsrs_skew,M3,0.14162348531408608,0.14893129439723016,0.9509316754902254,1.1939128287156306,-0.16054703286928207,0.8821308172627295,1.0977503350534281,0.3319610778443114,25.088173652694614,2672,,,,,
49,refine k=7 wr=0.3 L=180 rb=0.0,30,250,180,0.2,0.0,0.3,7,-0.7,0.7,0.0,rsrs_skew,M3,0.1244853647842008,0.14665169788597074,0.8488504843700794,1.1514798062182374,-0.17064439403770526,0.729501636934494,0.9207326753287263,0.3319610778443114,30.829491017964074,2672,,,,,
