round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,metric,mapping,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,defensive_round,off,full
35,refine k=5 wr=0.4 L=120 rb=0.4,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,,0.13596498133405377,0.1346305003749428,1.0099121741016668,1.3436402701964258,-0.21031882364949117,0.646470814997746,1.2175046590156036,0.4779191616766467,34.1690119760479,2672,31.0,,
35,refine k=5 wr=0.4 L=120 rb=0.6,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.6,rsrs_skew,,,0.13500109601287136,0.13461936898242025,1.0028356025833174,1.3376711706665887,-0.21031882364949117,0.641887842801264,1.2092683749922413,0.47754491017964074,34.27275449101796,2672,31.0,,
35,refine k=5 wr=0.4 L=180 rb=0.0,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,,0.12493437391810969,0.1341973127785274,0.9309752284257375,1.3349703097167227,-0.14320480680227432,0.8724174607533183,1.0951238023759529,0.47005988023952094,40.26467065868264,2672,31.0,,
35,refine k=5 wr=0.4 L=180 rb=0.2,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,,0.12493437391810969,0.1341973127785274,0.9309752284257375,1.3349703097167227,-0.14320480680227432,0.8724174607533183,1.0951238023759529,0.47005988023952094,40.26467065868264,2672,31.0,,
35,refine k=5 wr=0.4 L=180 rb=0.4,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,,0.13164515961016066,0.13265222114361924,0.9924082572852794,1.3213586686840388,-0.14320480680227432,0.9192789163280372,1.1622515985583304,0.47305389221556887,32.86122754491018,2672,31.0,,
35,refine k=5 wr=0.4 L=180 rb=0.6,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.6,rsrs_skew,,,0.13119932038745263,0.13287625926835053,0.987379695288447,1.3148368189157071,-0.14320480680227432,0.9161656184390661,1.1590345329542513,0.4726796407185629,32.82035928143712,2672,31.0,,
35,refine k=5 wr=0.4 L=252 rb=0.0,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,,,0.10502429000629077,0.13415485755531575,0.782858645002745,1.2080809270009105,-0.14320480680227432,0.7333852288303413,0.927134914554059,0.4625748502994012,42.996556886227545,2672,31.0,,
35,refine k=5 wr=0.4 L=252 rb=0.2,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,,,0.10502429000629077,0.13415485755531575,0.782858645002745,1.2080809270009105,-0.14320480680227432,0.7333852288303413,0.927134914554059,0.4625748502994012,42.996556886227545,2672,31.0,,
35,refine k=5 wr=0.4 L=252 rb=0.4,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,,,0.10738769936359605,0.13513407221999157,0.7946752258658659,1.1114039303578667,-0.163841353386306,0.6554370868165179,0.9422561530634369,0.4622005988023952,33.188173652694616,2672,31.0,,
35,refine k=5 wr=0.4 L=252 rb=0.6,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.6,rsrs_skew,,,0.10834580734338606,0.1351425555399228,0.8017149513750268,1.1154336751680305,-0.1638413533863059,0.661284865536528,0.9504028399466835,0.4625748502994012,32.88637724550899,2672,31.0,,
35,refine k=7 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,,,0.13663356242790559,0.1306746571613916,1.0456010782500418,1.4123255896138829,-0.209717726983483,0.6515117457794428,1.2575181357797611,0.4723053892215569,36.15898203592814,2672,31.0,,
35,refine k=7 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.2,rsrs_skew,,,0.13663356242790559,0.1306746571613916,1.0456010782500418,1.4123255896138829,-0.209717726983483,0.6515117457794428,1.2575181357797611,0.4723053892215569,36.15898203592814,2672,31.0,,
