round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,reversal_L,reversal_w,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,multi_horizon_mom,multi_horizon_w,multi_rsrs,multi_rsrs_w,vol_target,vol_lb,skip_mom,bucket_relative
10,vt=0.15 lb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.05202995123895571,0.09682812339093207,0.5373433814150352,1.1167669068481962,-0.20577392143481832,0.2528500738877006,0.7261558062311383,0.49738023952095806,48.999915719935,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.15,40.0,,
10,vt=0.15 lb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.049765804927737856,0.09854976208559992,0.5049814821928386,1.0681972419817072,-0.2138032342743078,0.2327645093707457,0.6777539132002068,0.4981287425149701,48.62080587713412,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.15,60.0,,
10,vt=0.15 lb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.04385948312817578,0.09873389400793732,0.44421911612895437,1.0006999865814632,-0.21471487669230382,0.20426848760474298,0.5891643266374682,0.4977544910179641,48.423417676615585,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.15,90.0,,
10,vt=0.18 lb=40,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.06468364281170214,0.10900406080581282,0.5934058083114347,1.1410685374919778,-0.2106783109427497,0.3070256379133372,0.79760458350185,0.4977544910179641,51.17119208874316,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.18,40.0,,
10,vt=0.18 lb=60,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.060378062734877114,0.11090292641259611,0.5444226287613949,1.0762973288833235,-0.22101499785630296,0.2731853644345577,0.7230295226319856,0.4977544910179641,50.81997775563602,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.18,60.0,,
10,vt=0.18 lb=90,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.05315707173052031,0.11082835208739329,0.4796342337437581,1.0058036835191517,-0.2258110995061533,0.2354050436261739,0.6275610187910986,0.4981287425149701,50.62093085823851,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,0.18,90.0,,
11,skip-mom skip=5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.03904560940647084,0.11087486177485632,0.35215926118363305,0.9177079803406214,-0.3106368653878653,0.1256953496415114,0.4605635629365327,0.49139221556886226,54.30395937444734,2672,,,"(18, 600)|(60, 600)",0.5|0.5,0.18,40.0,5.0,
11,skip-mom skip=10,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.030884879895421546,0.10922178558631503,0.28277215694312247,0.865832777444537,-0.3453525278984333,0.08943000962918869,0.36678850921235995,0.48914670658682635,55.33169808851795,2672,,,"(18, 600)|(60, 600)",0.5|0.5,0.18,40.0,10.0,
11,skip-mom skip=21,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.04137944171287922,0.1084839829740432,0.381433651111243,0.9667209676819585,-0.2853408386210876,0.1450175933905773,0.5034245645309531,0.4898952095808383,54.7101845070665,2672,,,"(18, 600)|(60, 600)",0.5|0.5,0.18,40.0,21.0,
11,skip-mom skip=42,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.04732663264784409,0.10748504494392666,0.4403089999407237,1.058782508514879,-0.24852280226153556,0.1904317520049505,0.5848433142609916,0.4940119760479042,56.52464306122096,2672,,,"(18, 600)|(60, 600)",0.5|0.5,0.18,40.0,42.0,
