round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,off,full,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,w_macro,yield_gate
23,refine L=120 wr=0.4 k=3 rb=0.6,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.10184994338015652,0.14115441032614073,0.721549848459072,1.1111339159001643,-0.17119016689339295,0.5949520654628639,0.8630631745364536,0.5737275449101796,40.45958083832335,2672,,
23,refine L=120 wr=0.4 k=5 rb=0.0,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.10366680579410636,0.136902811266219,0.757229196648983,1.166222958996061,-0.18487386257818106,0.5607434406811663,0.882124268496009,0.5696107784431138,41.18420658682634,2672,,
23,refine L=120 wr=0.4 k=5 rb=0.2,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.10263005163679684,0.13711804260981622,0.7484795558877793,1.1267154809181215,-0.19533886605752937,0.5253949391032668,0.8662266770553357,0.5722305389221557,38.38315868263473,2672,,
23,refine L=120 wr=0.4 k=5 rb=0.4,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.1340075859115626,0.13189615386102396,1.0160082912862145,1.2732864568760733,-0.21291074320959114,0.629407346437396,1.1495247272273248,0.5872005988023952,25.215718562874255,2672,,
23,refine L=120 wr=0.4 k=5 rb=0.6,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.12982951508180562,0.131848393193868,0.9846878823233449,1.2254429100359494,-0.21922086163730792,0.5922315700802386,1.1032125472477081,0.594685628742515,23.659580838323354,2672,,
23,refine L=120 wr=0.4 k=7 rb=0.0,30,250,120,0.2,0.0,0.4,7,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.10901674908922443,0.1269718024490339,0.8585902301653427,1.2478630674245392,-0.18734058694087774,0.5819174097262154,0.9903323279153483,0.5752245508982036,36.37297904191616,2672,,
23,refine L=120 wr=0.4 k=7 rb=0.2,30,250,120,0.2,0.0,0.4,7,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.11206315167276881,0.12683377080436883,0.8835434834277494,1.2493056447432866,-0.16686638319372626,0.6715741632792943,1.0139886115367218,0.5770958083832335,34.1941616766467,2672,,
23,refine L=120 wr=0.4 k=7 rb=0.4,30,250,120,0.2,0.0,0.4,7,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.12337847636611854,0.12719035974392343,0.9700300920173551,1.236167776310476,-0.18031966313208125,0.6842208676695773,1.1086232266382758,0.5849550898203593,25.361676646706588,2672,,
23,refine L=120 wr=0.4 k=7 rb=0.6,30,250,120,0.2,0.0,0.4,7,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.11748293310350011,0.12394824923563716,0.9478385844737034,1.1441034574321276,-0.1991847646819419,0.5898188713935866,1.073146651609614,0.5950598802395209,18.635928143712576,2672,,
23,refine L=120 wr=0.5 k=3 rb=0.0,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.09375619616653252,0.14046941326165957,0.6674491904646035,1.124763470916996,-0.18163552976273578,0.5161776238878099,0.8013726746022115,0.562874251497006,47.31287425149701,2672,,
23,refine L=120 wr=0.5 k=3 rb=0.2,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.09375619616653252,0.14046941326165957,0.6674491904646035,1.124763470916996,-0.18163552976273578,0.5161776238878099,0.8013726746022115,0.562874251497006,47.31287425149701,2672,,
23,refine L=120 wr=0.5 k=3 rb=0.4,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.09898861328628183,0.13967423949586788,0.7087105943341135,1.105622566209296,-0.18874428971687507,0.524458850833417,0.8389692317227756,0.5722305389221557,41.025449101796404,2672,,
23,refine L=120 wr=0.5 k=3 rb=0.6,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.09376731493422752,0.1400039318316827,0.6697477257064298,1.0580114227708977,-0.19176202064647996,0.4889775077364817,0.7874737160149684,0.5797155688622755,40.36526946107784,2672,,
23,refine L=120 wr=0.5 k=5 rb=0.0,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.1112954457776667,0.1374320514774632,0.8098216142536262,1.2347500936391989,-0.1915358009358087,0.5810686317330631,0.9651415775159322,0.5696107784431138,42.466841317365265,2672,,
23,refine L=120 wr=0.5 k=5 rb=0.2,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.10814667675272349,0.13726618424607728,0.7878610259818164,1.1845274491057365,-0.2137365280817779,0.5059812551617073,0.9378643083754593,0.5696107784431138,39.854416167664674,2672,,
23,refine L=120 wr=0.5 k=5 rb=0.4,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.13603009140738065,0.1345311739426638,1.0111417853631135,1.2819045610774438,-0.19447029159789475,0.6994903452330363,1.1783852120280056,0.5909431137724551,26.806437125748506,2672,,
23,refine L=120 wr=0.5 k=5 rb=0.6,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.1350087794020003,0.13405725230497895,1.0070979158580442,1.2652492344308142,-0.18366761937397325,0.7350712110396733,1.170253428526659,0.5965568862275449,25.476646706586827,2672,,
23,refine L=120 wr=0.5 k=7 rb=0.0,30,250,120,0.2,0.0,0.5,7,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.109487095088038,0.12745613853709115,0.8590178264044618,1.2628513561606296,-0.1913413363441473,0.5722082702041658,0.9986536496168,0.5755988023952096,37.841541916167664,2672,,
23,refine L=120 wr=0.5 k=7 rb=0.2,30,250,120,0.2,0.0,0.5,7,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.10873879008171294,0.12747025019807165,0.8530522997542365,1.2290926453043383,-0.20450950789973588,0.5317053040635349,0.9870198347672895,0.5774700598802395,35.43817365269461,2672,,
23,refine L=120 wr=0.5 k=7 rb=0.4,30,250,120,0.2,0.0,0.5,7,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.11290676363111873,0.12640238525781908,0.893232856332784,1.1683963062870384,-0.18105430646525755,0.6236071697791092,1.021493463288844,0.5838323353293413,26.25089820359281,2672,,
23,refine L=120 wr=0.5 k=7 rb=0.6,30,250,120,0.2,0.0,0.5,7,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.1125983859628632,0.12477201570370174,0.9024330121447468,1.1066559737808863,-0.20431907619727718,0.5510909116197528,1.024667221209171,0.592814371257485,19.59251497005988,2672,,
23,refine L=180 wr=0.2 k=3 rb=0.0,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.12744690713476414,0.13705268268460982,0.9299118020772289,1.2995452325108339,-0.20473862111945462,0.6224859112458578,1.0676239865028367,0.5692365269461078,36.75,2672,,
