rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,rebal_threshold,theta_off,theta_on,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n,gross_sharpe,ann_turnover,ann_capped_turnover
14,600,120,0.3,0.2,0.5,8,0.1,-0.5,1.0,0.06571925357517894,0.11966905243897284,0.5491750142226081,-0.32524118816329184,0.20206313335131365,0.7544998617299845,0.4921407185628742,2672,1.591431018198447,103.8371631736527,103.8371631736527
30,600,120,0.3,0.0,0.4,8,0.4,-1.0,0.5,0.07484837595643312,0.13692540506857856,0.5466361477546523,-0.2894586231435129,0.2585805706652708,0.6872612719399952,0.5134730538922155,2672,0.971991559320216,48.39925149700599,48.39925149700599
30,600,180,0.0,0.0,0.4,5,0.1,-0.7,0.7,0.07718577576124308,0.14181415967071442,0.5442741115588506,-0.28926158502128707,0.26683728416811,0.686591999062566,0.500748502994012,2672,1.112208895067605,64.97739520958085,64.97739520958085
18,600,120,0.3,0.0,0.3,8,0.2,-1.0,0.5,0.07401725323591868,0.13699537567400571,0.5402901584944749,-0.2802802714662277,0.2640829939571304,0.688328772737174,0.5026197604790419,2672,1.220906805810575,76.55939371257486,76.55939371257486
30,600,60,0.3,0.2,0.4,5,0.0,-0.5,1.0,0.07334407490442829,0.1359899323910962,0.5393345934866457,-0.32019910798041307,0.22905771151903032,0.7383755989313215,0.4940119760479042,2672,1.1591165240787706,68.3317365269461,68.3213735581389
24,250,120,0.3,0.2,0.4,8,0.0,-1.0,0.5,0.07495596234510438,0.1391505572602445,0.5386680716263247,-0.30271176201407923,0.24761496496333085,0.6938360418404851,0.5037425149700598,2672,1.2034521307424486,74.47848053892216,74.47848053892216
30,600,60,0.3,0.2,0.5,5,0.0,-0.5,1.0,0.07393449129196039,0.13763850101940855,0.5371643162659466,-0.34082153688557204,0.21693022092316683,0.7395399345624443,0.49738023952095806,2672,1.1590899024138284,69.18053892215569,69.17017595334849
14,600,180,0.0,0.2,0.3,8,0.4,-0.7,0.7,0.07097234767706562,0.1323580360779375,0.5362148742919876,-0.31419012045619144,0.2258898133843821,0.6509478186880389,0.5052395209580839,2672,1.2995530126116932,85.48517964071857,85.48517964071857
24,600,252,0.0,0.0,0.5,5,0.2,-0.7,0.7,0.07596230346495547,0.14246431546499116,0.533202319591549,-0.32512986867646143,0.23363680419206884,0.66926325829832,0.5071107784431138,2672,1.138575073541192,70.1000748502994,70.1000748502994
24,250,180,0.3,0.0,0.5,8,0.1,-1.0,0.5,0.07376828007195257,0.1386634217709678,0.5319952380361463,-0.31232729218028155,0.23618902964577315,0.6652555912993254,0.5026197604790419,2672,1.1830639014118254,72.76785179640719,72.76785179640719
24,250,252,0.3,0.0,0.5,5,0.2,-0.7,0.7,0.07512807130199439,0.14135452477883265,0.5314868513727589,-0.3632161987405802,0.20684119145152194,0.6760809900288264,0.5059880239520959,2672,1.200352950021093,76.87163173652695,76.87163173652694
