trade_date,exposure,bond_rotation_active,long_q5_etfs,short_q1_etfs,n_long,n_short,ivol_q5_avg,ivol_q1_avg
2020-09-17,0.7975617379035007,False,510630.SS;512480.SS;512660.SS;512690.SS;512760.SS;515030.SS;515210.SS;515220.SS;515880.SS,159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,9,8,0.25192544169750936,0.03472576432776163
2020-10-26,1.3311831627941397,True,159938.SZ;159985.SZ;512170.SS;512290.SS;512480.SS;512660.SS;512880.SS;515030.SS;515220.SS,159905.SZ;159919.SZ;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510880.SS,9,8,0.2167713712458789,0.028631477552766668
2020-11-24,1.1762889229393472,True,159967.SZ;159992.SZ;512170.SS;512290.SS;512480.SS;512660.SS;512690.SS;512760.SS;515030.SS;515220.SS;515880.SS,159912.SZ;159919.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,9,1.1289876267143686,0.039574723462004385
2020-12-23,0.9182807807181095,False,159930.SZ;159967.SZ;159985.SZ;510170.SS;512480.SS;512660.SS;512690.SS;512760.SS;515030.SS;515210.SS;515220.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS;510810.SS,11,9,0.31748575125683653,0.032583243653277215
2021-01-22,0.7489251571689759,False,159967.SZ;159985.SZ;512170.SS;512480.SS;512660.SS;512690.SS;512760.SS;512980.SS;515030.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS,11,10,0.40237353801043096,0.049972373618553535
2021-03-01,0.788197918714549,True,159930.SZ;159967.SZ;159980.SZ;510170.SS;512170.SS;512480.SS;512660.SS;512690.SS;512760.SS;515210.SS;515220.SS,159901.SZ;159903.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.36167470841234156,0.061184679636908115
2021-03-30,0.4797072097749046,False,159930.SZ;159967.SZ;159985.SZ;510170.SS;512170.SS;512480.SS;512660.SS;512690.SS;512760.SS;515210.SS;515220.SS,159903.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.5947043842191424,0.04570351177107628
2021-04-29,0.5729835398622715,False,159901.SZ;159980.SZ;159985.SZ;512010.SS;512170.SS;512480.SS;512690.SS;512760.SS;515030.SS;515210.SS;515220.SS,159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510510.SS,11,10,0.5702200323431748,0.035135235986661476
2021-06-02,0.9843583588994176,False,159930.SZ;159980.SZ;159985.SZ;159992.SZ;510170.SS;512480.SS;512690.SS;512880.SS;515030.SS;515210.SS;515220.SS,159903.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS;510510.SS,11,10,0.6548611657999892,0.03579298354721149
2021-07-02,1.120221922562352,False,159857.SZ;159928.SZ;159930.SZ;159967.SZ;159985.SZ;512480.SS;512660.SS;512690.SS;512760.SS;515030.SS;515220.SS;588000.SS,159903.SZ;159912.SZ;159919.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,10,0.5160177731859682,0.04443778189907509
2021-08-02,1.0624816204157765,False,159857.SZ;159928.SZ;512170.SS;512480.SS;512660.SS;512690.SS;512760.SS;515030.SS;515210.SS;515220.SS;588000.SS;588080.SS,159902.SZ;159903.SZ;159919.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;518880.SS,12,11,0.410505467209038,0.053926172440589344
2021-08-31,0.9010890216837549,False,159857.SZ;159928.SZ;159930.SZ;159973.SZ;510170.SS;512480.SS;512660.SS;512690.SS;512760.SS;512880.SS;515030.SS;515220.SS,159901.SZ;159903.SZ;159919.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS,12,11,0.3579796007418415,0.04672077894296271
2021-10-08,0.829510510019405,False,159857.SZ;159869.SZ;159930.SZ;510170.SS;510880.SS;512170.SS;512480.SS;512660.SS;512760.SS;515030.SS;515210.SS;515220.SS,159819.SZ;159901.SZ;159903.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS,12,11,0.4323025899707941,0.05877960754920267
2021-11-08,0.9458820619861694,True,159755.SZ;159857.SZ;159869.SZ;159930.SZ;159980.SZ;510170.SS;512480.SS;512660.SS;512760.SS;515030.SS;515210.SS;515220.SS,159901.SZ;159902.SZ;159903.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.3488629986382878,0.04031140625094691
2021-12-07,1.0190968274527297,True,159755.SZ;159857.SZ;159930.SZ;159967.SZ;159992.SZ;512010.SS;512290.SS;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,159901.SZ;159903.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.27730659831243704,0.03982690811826234
2022-01-06,1.0829043088431294,True,159755.SZ;159857.SZ;159869.SZ;159930.SZ;159985.SZ;510170.SS;512170.SS;512660.SS;512980.SS;515030.SS;515210.SS;515220.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510510.SS,12,11,0.2634515876890788,0.037852318765131614
2022-02-11,0.9357430909424811,True,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;159930.SZ;159967.SZ;159973.SZ;159985.SZ;512980.SS;515030.SS;515220.SS,159901.SZ;159903.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;518880.SS,12,11,0.2980231746047842,0.053081077021012835
2022-03-14,0.807530767933215,False,159755.SZ;159922.SZ;159980.SZ;159985.SZ;512170.SS;512290.SS;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,159901.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510650.SS,11,10,0.3165200830877127,0.045663039810584505
2022-04-14,0.6656172727468332,False,159869.SZ;159938.SZ;159980.SZ;159985.SZ;510660.SS;512170.SS;512290.SS;512690.SS;512980.SS;515210.SS;515220.SS,159901.SZ;159902.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS,11,10,0.2675880512539342,0.039900270988987165
2022-05-18,0.5497943261711854,False,159755.SZ;159857.SZ;159869.SZ;159890.SZ;159907.SZ;510170.SS;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,159901.SZ;159903.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.3150464268038629,0.056136926141116816
2022-06-17,0.6327774802689741,False,159755.SZ;159869.SZ;159907.SZ;159930.SZ;159938.SZ;512480.SS;512760.SS;512880.SS;515030.SS;515220.SS;588000.SS;588080.SS,159901.SZ;159903.SZ;159905.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,12,11,0.6100700519470991,0.05257937326432435
2022-07-18,0.8614854730882966,False,159755.SZ;159857.SZ;159930.SZ;159980.SZ;159985.SZ;159992.SZ;512170.SS;512290.SS;512480.SS;512760.SS;515030.SS;515220.SS,159919.SZ;159922.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510510.SS;510810.SS,12,11,0.28168458786811046,0.042509977534216356
2022-08-16,1.340570619175794,False,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159930.SZ;159980.SZ;159985.SZ;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,159901.SZ;159902.SZ;159903.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.2601655518238523,0.0363161547914628
2022-09-15,1.2448582367452419,False,159755.SZ;159857.SZ;159869.SZ;159930.SZ;159985.SZ;510500.SS;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159919.SZ;510050.SS;510060.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.3254668831508849,0.04752355778095572
2022-10-21,1.1585017696986084,False,159755.SZ;159907.SZ;159929.SZ;159930.SZ;159992.SZ;510660.SS;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS;515220.SS,159901.SZ;159902.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS;518880.SS,12,11,0.3087579044432119,0.04234553310430453
2022-11-21,0.7564878868945026,True,159819.SZ;159869.SZ;159890.SZ;159929.SZ;159938.SZ;159992.SZ;510660.SS;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS,159901.SZ;159902.SZ;159919.SZ;510050.SS;510060.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.29682564334224026,0.04558969492401237
2022-12-20,0.7053357772630614,True,159755.SZ;159857.SZ;159890.SZ;159907.SZ;159931.SZ;159938.SZ;159967.SZ;159992.SZ;510660.SS;512480.SS;512760.SS;515030.SS,159919.SZ;159922.SZ;159968.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510500.SS;510510.SS,12,11,0.226836408740577,0.04194148956117138
2023-01-19,0.6995014269109908,True,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;159985.SZ;512480.SS;512660.SS;512760.SS;512980.SS;515030.SS;515220.SS,159901.SZ;159903.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS;518880.SS,12,11,0.2335001246236286,0.039218322011932656
2023-02-24,1.0157858953025556,False,159819.SZ;159857.SZ;159869.SZ;159890.SZ;159907.SZ;512480.SS;512660.SS;512690.SS;512760.SS;512980.SS;515220.SS;515880.SS,159901.SZ;159903.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS,12,11,0.2138968360864948,0.03567025752263509
2023-03-27,0.7596935834451564,False,159819.SZ;159857.SZ;159869.SZ;159890.SZ;159930.SZ;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS;512980.SS;515880.SS,159903.SZ;159905.SZ;159919.SZ;159922.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS;510500.SS;510510.SS,12,11,0.2459180551329779,0.03110218100975254
2023-04-26,0.5341347886040106,False,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;512980.SS;515030.SS;515880.SS;588000.SS;588080.SS,159901.SZ;159912.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510810.SS;510880.SS,12,11,0.42166724993933996,0.03848048363077647
2023-05-30,0.560580745178562,False,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;510650.SS;512480.SS;512760.SS;512980.SS;515030.SS;515880.SS,159903.SZ;159919.SZ;159922.SZ;159968.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS;510510.SS,11,10,0.31025732222459174,0.035416437693887616
2023-06-30,0.5653311567901348,True,159755.SZ;159819.SZ;159857.SZ;159869.SZ;159890.SZ;159985.SZ;512480.SS;512690.SS;512760.SS;512980.SS;515880.SS,159901.SZ;159912.SZ;159919.SZ;159922.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,11,10,0.3076741824005671,0.03760127038633761
