,gold_only,reversal_ensemble_only,winner_55gold
2020-11-16,1.3594080338266397,2.028373106944046,1.651036152719002
2020-11-17,1.3562367864693459,2.036355166867194,1.6518415168211513
2020-11-18,1.3467230443974643,2.037834155273615,1.6460083464307582
2020-11-19,1.3407329105003536,2.0512632052415434,1.6468627492765073
2020-11-20,1.3428470754052162,2.04768539978134,1.6469984369513933
2020-11-23,1.34601832276251,2.0495044354047147,1.6497960672651721
2020-11-24,1.3121916842847088,2.0503387505303423,1.6272948238771858
2020-11-25,1.2980972515856248,2.036227356317741,1.6126414610738917
2020-11-26,1.299154334038056,2.025644475349392,1.6095921149212766
2020-11-27,1.3002114164904872,2.0336651593511457,1.61318041959242
2020-11-30,1.2684989429175486,2.0262729303661016,1.5889014859353274
2020-12-01,1.277660324171953,2.069387258662025,1.6104265968263305
2020-12-02,1.295983086680762,2.0784544632241384,1.6263041056962082
2020-12-03,1.310077519379846,2.11931552166485,1.650419297576925
2020-12-04,1.3111346018322771,2.137421412583303,1.65749672430233
2020-12-07,1.3086680761099374,2.1141916626271025,1.6476755231848565
2020-12-08,1.3284002818886549,2.124839076052245,1.6650736896705136
2020-12-09,1.3199436222692045,2.100497847488821,1.6506602627541354
2020-12-10,1.3083157152924603,2.1077043471270263,1.645210964000462
2020-12-11,1.3058491895701205,2.094599128609921,1.638901755353282
2020-12-14,1.3062015503875974,2.1101097608708215,1.6446062561016246
2020-12-15,1.3178294573643419,2.152777409216736,1.6676231859394153
2020-12-16,1.3259337561663151,2.1651051597627053,1.6775609709374806
2020-12-17,1.332276250880903,2.2178532998471705,1.7003660094726851
2020-12-18,1.340028188865399,2.2255514450139207,1.7084634190073098
2020-12-21,1.3551797040169145,2.248720756148424,1.7270917210905468
2020-12-22,1.335799859055674,2.2272243872874107,1.7060781371578737
2020-12-23,1.3336856941508115,2.224971865589246,1.7038165703479313
2020-12-24,1.3396758280479222,2.224942856215527,1.7080154734060056
2020-12-25,1.346370683579987,2.2632081070318617,1.7259287838220565
2020-12-28,1.3488372093023264,2.2338165769801135,1.7175814837011325
2020-12-29,1.3389711064129677,2.2943051753677937,1.7316010296163187
2020-12-30,1.3386187455954905,2.2958720759280764,1.7318825734110164
2020-12-31,1.3460183227625095,2.3364049770859343,1.7509071000984626
2021-01-04,1.3639887244538413,2.3422848306978987,1.7657467606968926
2021-01-05,1.369274136715998,2.3680595411974408,1.7782536725665772
2021-01-06,1.373150105708246,2.3427117298956976,1.772456657068337
2021-01-07,1.3643410852713187,2.3018963240701438,1.7523066853390172
2021-01-08,1.354827343199437,2.3405522350774133,1.758828166602045
2021-01-11,1.3199436222692045,2.354732754773676,1.7387161973176815
2021-01-12,1.329457364341086,2.370450360512589,1.7508314561986793
2021-01-13,1.3266384778012692,2.3804669626503294,1.752118920279958
2021-01-14,1.318534178999296,2.4096761573109604,1.7559065979873842
2021-01-15,1.322410147991544,2.376371513018671,1.7478245764274685
2021-01-18,1.3195912614517271,2.433392533218492,1.7646480030063871
2021-01-19,1.3202959830866814,2.442626278357569,1.7681795821600255
