,baseline_k40_monthly,D1_regime_breadth,D1b_regime_mom200,D2_ensemble_k40_k80,D3_stoploss_20dlow,D4_disp_gt_Q75,D5_breadth_and_disp
2021-02-25,2.4185831133312425,2.1459174168175497,1.8725256244693997,2.312871004378043,2.1350076364344215,1.1573386693626542,1.1363712466939584
2021-02-26,2.3819190310224716,2.113386761838463,1.8441394039411882,2.2780931424866764,2.1350076364344215,1.139794198801049,1.1191446280623902
2021-03-01,2.3983861771146415,2.127997438399334,1.8568886672803333,2.294912897819314,2.1350076364344215,1.1476740458244836,1.1268817164556342
2021-03-02,2.378552877618762,2.1104001011043816,1.8415332464477379,2.27373970234777,2.1350076364344215,1.1381834294710036,1.1175630409261652
2021-03-03,2.4052494541522287,2.134086964804369,1.862202382591532,2.2939534954675755,2.1350076364344215,1.150958256265864,1.1301064270891534
2021-03-04,2.3615300551234424,2.095296393865731,1.8283537649787815,2.2578419099950082,2.1350076364344215,1.130037680570775,1.1095648679815884
2021-03-05,2.374764297983954,2.107038637535682,1.8386000363349997,2.2595801878730253,2.133940132616204,1.1365588606550485,1.1159679043083384
2021-03-08,2.247497369781356,1.9941195005792256,1.740066898113161,2.191758726586961,2.0188679936708964,1.1365588606550485,1.1159679043083384
2021-03-09,2.1689055198298988,1.9243879214984265,1.6792191843846638,2.130364511454164,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-10,2.1817046102515505,1.9357440708504392,1.6891285501833166,2.1346068020647895,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-11,2.235744815045453,1.9836919028006492,1.7309677855895291,2.173617597882839,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-12,2.2328846744237207,1.9811542080896873,1.7287533954475245,2.1642534893430097,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-15,2.172630117916379,1.9276926166566652,1.6821028584330524,2.1198361896016658,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-16,2.196619560828166,1.9489775429758802,1.7006760661601146,2.1372060094662975,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-17,2.220638720090184,1.9702888354899035,1.7192722810052568,2.1584811191672357,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-18,2.2556270939709457,2.0013326976929418,1.7463611274828137,2.1780095641751727,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-19,2.23161524789427,1.980027893891964,1.7277705746828893,2.1575106290947823,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-22,2.2547315929685174,2.000538153487578,1.7456678089176827,2.177976132181293,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-23,2.256935849821863,2.00249390731165,1.747374397960685,2.1834310075710572,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-24,2.248096225892659,1.9946508429806218,1.7405305470188381,2.176502537623572,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-25,2.240892777391533,1.98825949528845,1.7349534627216086,2.1685955988874257,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-26,2.2837420835892366,2.0262780657321806,1.7681284333908702,2.196723878377662,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-29,2.313932995212611,2.053065320933414,1.791502968394132,2.2092895163029613,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-30,2.328356195949727,2.065862482005709,1.8026697597349994,2.210111403242052,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-03-31,2.2746206680065795,2.0181849783137804,1.7610664125259203,2.176606791586076,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-04-01,2.305453836516015,2.0455420837840714,1.7849381983658446,2.202497100366037,2.0009706881407974,1.1365588606550485,1.1159679043083384
2021-04-02,2.34528117857952,2.080879379628293,1.8157734912103816,2.2297879469697257,1.999970202796727,1.1365588606550485,1.1159679043083384
2021-04-06,2.35610693668295,2.0904846657713883,1.8241550553341213,2.231948597885997,2.009202014243173,1.1365588606550485,1.1159679043083384
2021-04-07,2.343060096809632,2.0789086976914573,1.814053875909492,2.226622158830685,1.9980761453172557,1.1365588606550485,1.1159679043083384
2021-04-08,2.340945160827695,2.077032194901838,1.8124164412484876,2.2205877841818236,1.9962726050921737,1.1365588606550485,1.1159679043083384
2021-04-09,2.3238308712556566,2.0618473323818516,1.799166143753401,2.2013791675713166,1.9816781634965426,1.1365588606550485,1.1159679043083384
2021-04-12,2.260826471551736,2.005945908975915,1.7503866115348836,2.1545722739720694,1.927620030953334,1.1365588606550485,1.1159679043083384
2021-04-13,2.2593868186875437,2.0046685593829183,1.7492719974190063,2.1505469214676514,1.927658646534309,1.1365588606550485,1.1159679043083384
2021-04-14,2.3141003450037294,2.053213804080212,1.7916325346556305,2.1857569209233283,1.9667273291390983,1.1365588606550485,1.1159679043083384
2021-04-15,2.3038319578593804,2.044103052130351,1.7836825006279464,2.175825156342595,1.9643962059668467,1.1365588606550485,1.1159679043083384
2021-04-16,2.312379249114831,2.0516867407249597,1.7903000205334705,2.1861875607419425,1.9671683262309883,1.1365588606550485,1.1159679043083384
2021-04-19,2.395647682058806,2.125567675202942,1.8547684580817032,2.246976069683245,2.0206823650365338,1.1365588606550485,1.1159679043083384
2021-04-20,2.3737374098331947,2.106127518477712,1.8378049946574306,2.222347809330583,2.0086224551532483,1.1365588606550485,1.1159679043083384
2021-04-21,2.364661310449611,2.0980746384106,1.8307780586913627,2.213553658720738,2.0022312081395253,1.1365588606550485,1.1159679043083384
2021-04-22,2.367441106989589,2.100541046853406,1.832930244499338,2.2259855393349572,2.002654155162791,1.1365588606550485,1.1159679043083384
2021-04-23,2.374877122618136,2.107138742570816,1.838687387899397,2.22837075855435,2.0102281456499713,1.1365588606550485,1.1159679043083384
2021-04-26,2.352754227203721,2.0875099333235547,1.8215593064526152,2.213029136586222,2.003121911822554,1.1365588606550485,1.1159679043083384
2021-04-27,2.3293467709767435,2.066741381800973,1.8034366869126603,2.1922099785747178,1.9867867696688752,1.1365588606550485,1.1159679043083384
2021-04-28,2.3575092749826867,2.0917289075611722,1.8252407796104366,2.214764200082099,2.0036489531585326,1.1365588606550485,1.1159679043083384
2021-04-29,2.3771711411315346,2.1091741385244505,1.8404634725936415,2.232166608842771,2.0019906465554635,1.1365588606550485,1.1159679043083384
2021-04-30,2.3543187989805716,2.088898118748028,1.8227706358162108,2.2122862068083737,2.013781254401896,1.1365588606550485,1.1159679043083384
