variant,gold_weight,net5_sharpe,maxdd,worst_year,worst_sharpe,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
k40_only,0.65,1.300934434871525,-0.19782166940031798,2021,-0.14350451550396567,2.857190390932964,1.635129168203971,-0.14350451550396567,0.1243756782402874,0.6678334215283066,2.052426148404228,2.57777429732585,0.8386786970389138
k40_only,0.7000000000000001,1.311141465496879,-0.20513289627142572,2021,-0.19408753428715733,2.672956134119562,1.5268110897308347,-0.19408753428715733,0.2334805739620669,0.8642900290628603,2.137937305572616,2.6157370662172035,0.8375002840627656
k40_only,0.75,1.3081395192256282,-0.2124296824522437,2021,-0.24362677964360963,2.4584128574062367,1.408499725477771,-0.24362677964360963,0.3506897394628515,1.0616928766413984,2.1961927175119422,2.6345466238918633,0.8354469070098229
k40_only,0.8,1.2927156218855442,-0.21971137094937043,2021,-0.2899392844875917,2.2278179931152793,1.284121836084652,-0.2899392844875917,0.4707764654219509,1.2469606054664033,2.2171704897865365,2.6372320834220666,0.832701648954207
k40_only,0.8500000000000001,1.266609969604229,-0.2269773123051021,2021,-0.3312116831663964,1.9942536060393932,1.1575354046847677,-0.3312116831663964,0.5867470240823695,1.4073483274191139,2.1953975261627123,2.6270044161613706,0.8294181442095365
k40_only,0.9,1.2321332101337363,-0.23422686463973363,2021,-0.36633568887589857,1.7676766450285237,1.032112754698517,-0.36633568887589857,0.6914566655621823,1.5343411049319904,2.1323584577521,2.6069125153805297,0.825724123301629
k40+k80_ensemble,0.0,0.8107460997888422,-0.37557604891185703,2023,-0.6767531485068886,2.4042074210779676,2.184039794198725,0.616063648682126,0.04075999978058694,-0.6767531485068886,0.5247180078074908,1.3349543015695964,0.6165913071283413
k40+k80_ensemble,0.05,0.8519758850152798,-0.35572068220968056,2023,-0.6373176647976384,2.474997994173126,2.1956405743368546,0.6022265328519074,0.0599160811581184,-0.6373176647976384,0.5713642735456017,1.4751940369772387,0.6564083640894799
k40+k80_ensemble,0.1,0.8958661652004488,-0.3353366033864139,2023,-0.5928761388779227,2.549403911963095,2.2039544845434254,0.5861506258996754,0.08117656005510648,-0.5928761388779227,0.622804914353304,1.6224978605020401,0.6916302271420753
k40+k80_ensemble,0.15000000000000002,0.9423280944934661,-0.31441345738514337,2023,-0.5425372649647987,2.6265432991225985,2.2079179412273042,0.5673935126474072,0.10486075618665776,-0.5425372649647987,0.6796816471739414,1.7750597704006454,0.7221034816253752
k40+k80_ensemble,0.2,0.9911199898729375,-0.2929408154097648,2023,-0.4852235365615806,2.7048662504375147,2.2062671174448893,0.5454247808581081,0.13134143173507598,-0.4852235365615806,0.7427121669863386,1.9301927470614193,0.7478963766988256
