trade_date,Q1,Q2,Q3,Q4,Q5,MKT_EW,tov_q5,tov_q1,LS,LS_cost,LS_net,Q5_ex,Q5_ex_cost,Q5_ex_net
2023-07-20,-0.026697,-0.027606,-0.028922,-0.025844,-0.01982,-0.025778,0.011911,0.008804,0.006877,1e-05,0.006867,0.005958,6e-06,0.005952
2023-08-17,-0.012691,-0.003251,0.000353,0.003222,0.004515,-0.00157,0.046739,0.041602,0.017207,4.4e-05,0.017163,0.006086,2.3e-05,0.006062
2023-09-14,-0.068762,-0.061155,-0.068012,-0.061536,-0.057927,-0.063479,0.235234,0.235234,0.010835,0.000235,0.0106,0.005552,0.000118,0.005434
2023-10-20,0.12512,0.125447,0.128019,0.131714,0.137172,0.129494,0.019727,0.012133,0.012052,1.6e-05,0.012036,0.007677,1e-05,0.007668
2023-11-17,-0.022466,-0.017932,-0.022861,-0.025845,-0.022895,-0.0224,0.288665,0.259185,-0.000429,0.000274,-0.000703,-0.000495,0.000144,-0.000639
2023-12-15,-0.035607,-0.030557,-0.03518,-0.031771,-0.029235,-0.03247,0.007511,0.012012,0.006371,1e-05,0.006361,0.003235,4e-06,0.003231
2024-01-15,-0.145006,-0.1445,-0.146749,-0.151237,-0.161918,-0.149882,0.008462,0.012935,-0.016913,1.1e-05,-0.016923,-0.012036,4e-06,-0.01204
2024-02-20,0.136908,0.148888,0.145786,0.157555,0.16565,0.150957,0.008902,0.016312,0.028742,1.3e-05,0.028729,0.014692,4e-06,0.014688
2024-03-19,-0.100231,-0.097389,-0.09562,-0.098481,-0.106673,-0.099679,0.015717,0.011788,-0.006442,1.4e-05,-0.006456,-0.006995,8e-06,-0.007002
2024-04-18,0.069511,0.084444,0.084109,0.08634,0.087981,0.082477,0.100488,0.069268,0.01847,8.5e-05,0.018385,0.005504,5e-05,0.005454
2024-05-21,-0.084902,-0.084247,-0.085695,-0.088131,-0.092049,-0.087005,0.208132,0.197483,-0.007147,0.000203,-0.00735,-0.005045,0.000104,-0.005149
2024-06-19,-0.053625,-0.050785,-0.044416,-0.042824,-0.038087,-0.045947,0.004817,0.006259,0.015538,6e-06,0.015533,0.007861,2e-06,0.007858
2024-07-17,0.004938,0.006981,0.007663,0.01439,0.015668,0.009928,0.004808,0.002403,0.01073,4e-06,0.010727,0.00574,2e-06,0.005738
2024-08-14,-0.044078,-0.042482,-0.037225,-0.040284,-0.032293,-0.039272,0.037926,0.016315,0.011785,2.7e-05,0.011757,0.006979,1.9e-05,0.00696
2024-09-11,0.331828,0.30858,0.308476,0.304025,0.322532,0.315088,0.199426,0.195985,-0.009296,0.000198,-0.009494,0.007444,0.0001,0.007344
2024-10-18,0.065773,0.057107,0.057804,0.056258,0.075217,0.062432,0.009043,0.014755,0.009444,1.2e-05,0.009432,0.012785,5e-06,0.01278
2024-11-15,0.077833,0.090349,0.093271,0.097598,0.098344,0.091479,0.230989,0.251901,0.02051,0.000241,0.020269,0.006865,0.000115,0.006749
2024-12-13,-0.09354,-0.096553,-0.09423,-0.093123,-0.101769,-0.095843,0.005226,0.005698,-0.00823,5e-06,-0.008235,-0.005926,3e-06,-0.005929
2025-01-13,0.081116,0.091415,0.082151,0.078941,0.080366,0.082798,0.007119,0.005693,-0.00075,6e-06,-0.000756,-0.002432,4e-06,-0.002435
2025-02-18,0.066213,0.067178,0.063328,0.065428,0.061701,0.064769,0.005687,0.005687,-0.004512,6e-06,-0.004518,-0.003069,3e-06,-0.003072
2025-03-18,-0.088879,-0.089917,-0.097374,-0.089748,-0.093926,-0.091969,0.013764,0.013764,-0.005047,1.4e-05,-0.005061,-0.001957,7e-06,-0.001964
