trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2021-04-30,1.6656882139004043,1.6711027755841799,1.553144279795616,1.5582161004773791
2021-05-07,1.7088141659137157,1.7143689147738181,1.570099083985769,1.575226270886669
2021-05-13,1.7086644114391702,1.714218673500583,1.5766111882086604,1.5817596405034517
2021-05-14,1.7083745031102926,1.7139278227825379,1.5878750604088687,1.5930602950816561
2021-05-21,1.68245599419993,1.6879250619911355,1.5621061253069355,1.5672072110569877
2021-05-28,1.7297697719382874,1.7353926400421316,1.6113791567695548,1.6166411444932842
2021-06-04,1.7354920141285726,1.7411334832125103,1.6276670454629436,1.632982221581217
2021-06-11,1.759942810704494,1.7656637606571641,1.6345157686482483,1.6398533093957108
2021-06-18,1.7569350080961657,1.7626461807492069,1.6497114519483833,1.6550986144739623
2021-06-24,1.7566426367084484,1.7623528589657913,1.6495805587534809,1.654967293844969
2021-06-25,1.756350313974226,1.7620595859940258,1.6684111467738238,1.6738593734904068
2021-07-02,1.7257549551526357,1.731364772510876,1.6454297511259102,1.6508029316801636
2021-07-09,1.8203519760037725,1.8262692947300514,1.717437692285512,1.7230460160714505
2021-07-16,1.8626490211993256,1.8687038326198204,1.7464498778747621,1.7521529414764467
2021-07-23,1.9304656611046513,1.9367409203718016,1.833430797844389,1.8394178992103427
2021-07-30,1.925991244271002,1.9322519587957796,1.8352935477456904,1.8412867319550719
2021-08-06,1.944510463736764,1.9508313776765918,1.880949861432721,1.8870921371585976
2021-08-13,1.9854906824866991,1.9919448085849516,1.9132653503823336,1.919513152920708
2021-08-20,1.927126888338722,1.9333912944396328,1.8643693888989912,1.8704575207925118
2021-08-27,2.0426522591394476,2.0492921972523046,1.995248997247671,2.0017645188647855
2021-09-03,2.1086548293217473,2.11550931838391,2.027609829769189,2.0342310262690537
2021-09-10,2.21752398315,2.224732367223212,2.1321048426899663,2.139067269540782
2021-09-17,2.16544752102332,2.172486622985928,2.07724151606033,2.084024785727689
2021-09-24,2.119855112031873,2.126746009241193,2.0383092906778173,2.044965426460417
2021-09-30,2.1267234073650245,2.133636630966783,2.0538319572773753,2.060538782607958
2021-10-08,2.1466241916273185,2.153602105621339,2.077280509444873,2.084063906445833
2021-10-15,2.1296892801076264,2.13661214470989,2.056652912123723,2.0633689493332783
2021-10-22,2.1230604565781523,2.129961773225888,2.0625653192091455,2.0693006634907642
2021-10-29,2.111514867862971,2.1183786538961824,2.0644541755851495,2.07119568796136
2021-11-05,2.122121558853217,2.1290198234774085,2.0821091360574933,2.0889083010258194
2021-11-12,2.1692195461724815,2.1762709096511847,2.1456927094015654,2.1526995076764055
2021-11-19,2.165457378396266,2.1724965124016986,2.1357307215449755,2.142704988768644
2021-11-26,2.1313693747861677,2.138297700780423,2.09231849190305,2.099150995707181
2021-12-03,2.131344546344644,2.138272791630441,2.108602860867603,2.1154885415725397
2021-12-10,2.135867168422219,2.1428101151485417,2.106176609525987,2.113054367263371
2021-12-17,2.101384780920847,2.1082156376338217,2.068820030970871,2.075575800126653
2021-12-24,2.073357153348702,2.08009690218382,2.050202844677488,2.0568978190753673
2021-12-31,2.0572466585909504,2.0639340379208426,2.0513774691621074,2.0580762793174445
2022-01-07,2.047980262702309,2.0546375202652905,2.0614277721779524,2.0681594017792073
2022-01-14,2.0429266770599743,2.049567507208175,2.0468803334359187,2.0535644581133634
2022-01-21,2.042549766092463,2.0615793861823324,2.0465031277724535,2.065419802588634
2022-01-28,2.042549766092463,1.994185085930672,2.0465031277724535,1.9977496684798377
2022-02-11,2.042549766092463,2.0723726660865256,2.0465031277724535,2.0757442635082075
2022-02-18,2.042549766092463,2.07622711781035,2.0465031277724535,2.07965604545615
2022-02-25,2.042549766092463,2.0410229500901678,2.0465031277724535,2.044180605187565
2022-03-04,2.042549766092463,2.0719053179759794,2.0465031277724535,2.075054171919286
2022-03-11,2.042549766092463,2.009869336306407,2.0465031277724535,2.0114455947336363
2022-03-18,2.042549766092463,1.979329981006365,2.0465031277724535,1.98156958888152
2022-03-25,2.042549766092463,2.019808343372982,2.0465031277724535,2.019625430836349
2022-04-01,2.042549766092463,2.103906659566135,2.0465031277724535,2.099517166150955
2022-04-08,2.042549766092463,2.1193238174098408,2.0465031277724535,2.11425191605971
2022-04-15,2.042549766092463,2.102633650672131,2.0465031277724535,2.0982558401754043
2022-04-22,2.042549766092463,2.022425655591472,2.0465031277724535,2.0215136852031534
2022-04-29,2.042549766092463,1.9855055912099946,2.0465031277724535,1.986066911461564
2022-05-06,2.042549766092463,1.9574464557893978,2.0465031277724535,1.9591257370280557
2022-05-13,2.042549766092463,1.9939385592576568,2.0465031277724535,1.9941420650404058
2022-05-20,2.042549766092463,2.015391836702317,2.0465031277724535,2.0148354040437484
2022-05-27,2.042549766092463,2.022770734550785,2.0465031277724535,2.022107698407876
2022-06-02,2.042549766092463,2.0215407927162072,2.0465031277724535,2.020893318673353
2022-06-10,2.042549766092463,2.0588731754297145,2.0465031277724535,2.058109695950534
2022-06-17,2.042549766092463,2.0393752574807826,2.0465031277724535,2.038539567337826
2022-06-24,2.042549766092463,2.03693835060845,2.0465031277724535,2.036096678310478
2022-07-01,2.042549766092463,2.072010307949427,2.0465031277724535,2.071390436372556
2022-07-08,2.042549766092463,2.0657284779385314,2.0465031277724535,2.0650985742597405
2022-07-15,2.042549766092463,2.003899777277053,2.0465031277724535,2.003480447432054
2022-07-22,2.042549766092463,2.020972044504713,2.0465031277724535,2.0205135447657794
2022-07-29,2.042549766092463,2.0391835838304555,2.0465031277724535,2.038721852380588
2022-08-05,2.042549766092463,1.9968258664788707,2.0465031277724535,1.9963737260684764
2022-08-12,2.042549766092463,2.0562081654631017,2.0465031277724535,2.0557425791446375
2022-08-19,2.042549766092463,2.0749407062714735,2.0465031277724535,2.074470878351961
2022-08-26,2.042549766092463,2.0922832828594786,2.0465031277724535,2.0918095280679103
2022-09-02,2.042549766092463,2.090910393697437,2.0465031277724535,2.0904369497685633
2022-09-09,2.042549766092463,2.1616442865373866,2.0465031277724535,2.1611548263639953
2022-09-16,2.042549766092463,2.06423665841211,2.0465031277724535,2.0637692542054884
2022-09-23,2.042549766092463,2.060276847105824,2.0465031277724535,2.0598103395175507
2022-09-30,2.042549766092463,2.0297472515670543,2.0465031277724535,2.029287656781788
2022-10-14,2.042549766092463,2.053903607689007,2.0465031277724535,2.053438543190556
2022-10-21,2.042549766092463,2.028396679829657,2.0465031277724535,2.0279373908537606
2022-10-28,2.042549766092463,1.9323480571036673,2.0465031277724535,1.9319105163755403
2022-11-04,2.042549766092463,1.9778209289291875,2.0465031277724535,1.977373091798518
2022-11-11,2.042549766092463,2.037842735053952,2.0465031277724535,2.0373813072118896
2022-11-18,2.042549766092463,2.040485013924995,2.0465031277724535,2.04002298779288
2022-11-25,2.042549766092463,2.079586574055559,2.0465031277724535,2.079115694174231
2022-12-02,2.042549766092463,2.1062158239301176,2.0465031277724535,2.1057389143993497
2022-12-09,2.042549766092463,2.1373665893324008,2.0465031277724535,2.1368826263474037
2022-12-16,2.042549766092463,2.097057736032587,2.0465031277724535,2.0965829001636687
2022-12-23,2.042549766092463,2.0261056119886605,2.0465031277724535,2.025646841778257
