mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,4,mkt_ma20,none,4,0.7580668140865519,0.5724230106293381,0.1290914109805108,-0.22551750817736005,-1.2216496271971236,5.862068965517241
4,4,0.5,0.0,4,mkt_ma20,0.15,1,0.9582073548622159,0.8044010237689869,0.1328962520773902,-0.16521144074967786,-0.7807533780808904,8.995623608809868
4,4,0.5,0.0,4,mkt_ma20,0.15,2,0.784127647261643,0.555689768652119,0.11128036372230454,-0.20025627607329566,-1.0150059962204312,6.484268377668405
4,4,0.5,0.0,4,mkt_ma20,0.15,4,0.871990644206418,0.710069865294601,0.11949744288331887,-0.1682896975690421,-1.2216496271971236,4.531661580403668
4,4,0.5,0.0,4,mkt_ma20,0.2,1,0.8636302429586803,0.7173654387399202,0.138290120498195,-0.19277499727489922,-0.741376440867194,10.676227342963063
4,4,0.5,0.0,4,mkt_ma20,0.2,2,0.6799136311638536,0.47872310432043846,0.11132357791447367,-0.23254273067204634,-1.0150059962204312,7.626913551961664
4,4,0.5,0.0,4,mkt_ma20,0.2,4,0.79334252033385,0.6464864968179097,0.12617525861975043,-0.1951707564516837,-1.2216496271971236,5.282744714437067
4,4,0.5,0.0,4,mkt_ma50,none,1,1.0833798408253101,1.1935234122448182,0.1765952946155136,-0.14796131588518013,-0.17534731351760294,11.275862068965518
4,4,0.5,0.0,4,mkt_ma50,none,2,0.8057916355360505,0.7397566018514854,0.13840070913501368,-0.18708952213284769,-1.5569397484778,8.172413793103448
4,4,0.5,0.0,4,mkt_ma50,none,4,0.4339238348874823,0.26928971133885476,0.07149295115348409,-0.26548712462141755,-1.6760478914207084,5.517241379310345
4,4,0.5,0.0,4,mkt_ma50,0.15,1,1.1598532402073103,1.4716072835392657,0.147773322557069,-0.10041627559879229,-0.23179578167395043,7.340787585313798
4,4,0.5,0.0,4,mkt_ma50,0.15,2,0.9071406036330035,0.949958931906778,0.12181612586890633,-0.12823304437423877,-1.5535116085476979,5.579420548110822
4,4,0.5,0.0,4,mkt_ma50,0.15,4,0.4288674878644817,0.24215021706641493,0.05285816818490452,-0.21828668512160376,-1.6760478914207084,3.8364487595668617
4,4,0.5,0.0,4,mkt_ma50,0.2,1,1.091189378168336,1.2483081333993087,0.16493981426904059,-0.1321306894155112,-0.23179578167395057,9.156313975642814
4,4,0.5,0.0,4,mkt_ma50,0.2,2,0.8080435166903732,0.7444983119946607,0.12727348172307007,-0.1709520084499303,-1.5535116085476974,6.9001000569484905
4,4,0.5,0.0,4,mkt_ma50,0.2,4,0.4237218404460962,0.25979588917582835,0.06315803102362527,-0.24310635254463275,-1.6760478914207084,4.740137863683794
4,4,0.5,0.0,5,none,none,1,0.8202882895394733,0.557236888976339,0.1638984490136357,-0.2941270620376948,-0.5923862240921397,17.062068965517245
