trade_week,V1_BASE,V2_RED,V3_GOLD,V4_RED_GOLD,V5_HALF_RED,V6_HALF_GOLD,V7_ENS_GOLD,V8_A_vt10,V9_A_top5,V10_MA60_vt10
2022-05-20,2.042549766092463,2.015391836702317,2.498555010435079,2.411047247463232,2.0245787952148966,2.2680828239240327,2.5046730183007995,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-05-27,2.042549766092463,2.022770734550785,2.527206670705901,2.4299472279987424,2.0288410663627174,2.281087208111244,2.5333948355552267,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-06-02,2.042549766092463,2.0215407927162072,2.5031132291145277,2.417515086582605,2.028132177101235,2.270213692689946,2.5092423983185492,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-06-10,2.042549766092463,2.0588731754297145,2.4933456176585658,2.4381568406173657,2.0494062908470516,2.2657842955267893,2.4994508697090856,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-06-17,2.042549766092463,2.0393752574807826,2.498555010435078,2.427344120032824,2.038176667335561,2.2681512678908806,2.504673018300799,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-06-24,2.042549766092463,2.03693835060845,2.469903350164256,2.4117456017071452,2.0367651876490407,2.2551464912701875,2.4759512010463722,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-07-01,2.042549766092463,2.072010307949427,2.44060051579637,2.4211531155019412,2.056792062869285,2.24176900747014,2.4465766152179813,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-07-08,2.042549766092463,2.0657284779385314,2.369622539216379,2.3817435227567647,2.0532212433156927,2.2091712457553263,2.375424840655879,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-07-15,2.042549766092463,2.003899777277053,2.3383661825573006,2.3253714900895823,2.0181662464785957,2.194601278759413,2.344091949105595,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-07-22,2.042549766092463,2.020972044504713,2.359203753663352,2.34747667716152,2.0283590052991944,2.20437950779315,2.3649805434724502,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-07-29,2.042549766092463,2.0391835838304555,2.4145535519138024,2.387589778439324,2.0392252142561538,2.23023822407281,2.42046587225941,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-08-05,2.042549766092463,1.9968258664788707,2.443856386281688,2.372549084999895,2.014005114433198,2.2437712230052904,2.4498404580878006,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-08-12,2.042549766092463,2.0562081654631017,2.4471122567670083,2.414531624025555,2.048301578338401,2.245265874765885,2.453104300957621,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-08-19,2.042549766092463,2.0749407062714735,2.4262746856609563,2.416095786862074,2.0583493085755205,2.2357064671032307,2.4322157065907657,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-08-26,2.042549766092463,2.0922832828594786,2.449716953155265,2.4386661667649565,2.0676340209320374,2.246506981437063,2.4557153752534786,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-09-02,2.042549766092463,2.090910393697437,2.4054371145549043,2.4157875156918793,2.0669230051064074,2.2262036222215236,2.4113271122239106,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-09-09,2.042549766092463,2.1616442865373866,2.4412516898934316,2.4761686784773653,2.103197290467876,2.242776605332269,2.4472293837919437,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-09-16,2.042549766092463,2.06423665841211,2.4060882886519686,2.401535096640256,2.0549524058128616,2.2266243064941866,2.4119798807978747,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-09-23,2.042549766092463,2.060276847105824,2.4314840784374705,2.4116986470768307,2.0528043719391897,2.2383750978275123,2.437437855182481,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-09-30,2.042549766092463,2.0297472515670543,2.438646993505176,2.395883269985646,2.0363188619690074,2.2416721152453087,2.4446183094960876,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-10-14,2.042549766092463,2.053903607689007,2.4581822164171,2.419933116831919,2.048603255387557,2.250650775252967,2.4642013667150144,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-10-21,2.042549766092463,2.028396679829657,2.433437600728663,2.39248025084977,2.035673781826205,2.239322996516594,2.439396160904373,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-10-28,2.042549766092463,1.9323480571036673,2.4640427832906773,2.3497523225976713,1.9865168865264247,2.2534049045760374,2.4700762838806924,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-11-04,2.042549766092463,1.9778209289291875,2.4562286941259073,2.374960017081125,2.0109777287858916,2.2498318524017624,2.462243060993121,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-11-11,2.042549766092463,2.037842735053952,2.5467418936178228,2.4567739346443185,2.0432002415559496,2.291285541092622,2.5529778927741518,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-11-18,2.042549766092463,2.040485013924995,2.5499977641031437,2.4600781457409844,2.044642161274761,2.2927501828345633,2.5562417356439733,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-11-25,2.042549766092463,2.079586574055559,2.553904808685528,2.4871010009537797,2.065535262993214,2.294506630880657,2.560158347087758,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-12-02,2.042549766092463,2.1062158239301176,2.5669282906268105,2.5105830604866584,2.079770557833553,2.300356979251082,2.5732137185670427,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-12-09,2.042549766092463,2.1373665893324008,2.5298113670941547,2.512523618185388,2.0964145114974957,2.2837257834345785,2.5360059098510805,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-12-16,2.042549766092463,2.097057736032587,2.5246019743176418,2.4841231224642346,2.0748760062423846,2.2813744570166277,2.5307837612593667,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-12-23,2.042549766092463,2.0261056119886605,2.546090719520758,2.4486607729457375,2.0364255068260046,2.2910836854253906,2.5523251242001863,1.7400879449199738,1.8716850914392653,1.7233998110011914
2022-12-30,2.042549766092463,2.038897408237492,2.5682306388209377,2.4681984123421374,2.0438199349553656,2.301044918840283,2.5745192557149696,1.7400879449199738,1.8716850914392653,1.7233998110011914
2023-01-06,2.042549766092463,2.0670129369524712,2.562370071947361,2.4849570161279466,2.060029033213844,2.2984194872645274,2.568644338549292,1.7400879449199738,1.8716850914392653,1.7233998110011914
2023-01-13,2.042549766092463,2.0695735518839236,2.596231124994696,2.5031396776327752,2.0614910836277645,2.3136059946772027,2.6025883043954328,1.7400879449199738,1.8716850914392653,1.7233998110011914
2023-01-20,2.042549766092463,2.1041801556505852,2.643766834080377,2.5500045486489693,2.081214775781538,2.334786485975351,2.650240410294822,1.7400879449199738,1.8716850914392653,1.7233998110011914
2023-02-03,2.093229380308849,2.1509669131811076,2.7087028660434425,2.6126375973514775,2.1325935918995085,2.3924252106920747,2.717918003093072,1.7832628957657668,1.9236469591827916,1.7233998110011914
2023-02-10,2.118295756710288,2.1738873750377112,2.741139524079402,2.643923875879682,2.1581313538804543,2.4210744506691344,2.72852104586463,1.8046174302417686,1.9386094330967232,1.7438220613599251
2023-02-17,2.0810258504226438,2.1398689982246095,2.692911124971218,2.597405916915004,2.1201605686108542,2.378477368743247,2.677876930202342,1.7728664708693098,1.8995480361534576,1.7131407532360097
2023-02-24,2.1163271061863194,2.1725738809035735,2.738592030065284,2.6414667297955736,2.156125681911773,2.418824410998905,2.717323380556122,1.8029402985011442,1.9329754441495521,1.7127124680477006
2023-03-03,2.187726217624741,2.240598395146123,2.8309846649124375,2.7305826215923843,2.228867488879164,2.500428957463416,2.797913740444006,1.863766592750844,1.999549169848578,1.770066542972127
2023-03-10,2.126130020000008,2.18398956914737,2.7512773004864353,2.6537021118488586,2.1661129443578657,2.430028504714927,2.6834437931419384,1.8112915917892987,1.9226161149455878,1.7202296997183975
2023-03-17,2.125598487495008,2.2104168356112632,2.845080244406529,2.7174535656147456,2.180953911408933,2.471149842601489,2.774933999380442,1.8108387688913514,1.9221354609168515,1.7197996422934678
2023-03-24,2.125598487495008,2.194870135536331,2.8943575543890327,2.729925414144129,2.172076215704419,2.492550226131355,2.8229963635746658,1.8108387688913514,1.9221354609168515,1.7197996422934678
2023-03-31,2.2030819253651193,2.2660056610143724,2.99914061409656,2.828755614729952,2.2509823747253,2.5830984136620905,2.895635356954976,1.8768484193816164,1.9696049004574807,1.7824906864942593
2023-04-07,2.370236893900301,2.427267680985867,3.226695136336495,3.0433824746437246,2.4217717056568304,2.779086465258222,3.080683170833333,2.019250994099779,2.11729582943357,1.9177340340905238
2023-04-14,2.2932106799788365,2.3645062806058625,3.123734067098982,2.94837392164433,2.3446922734531137,2.6887737589080225,2.9975310420136956,1.9723551752757937,2.034280065949314,1.8720278836410555
2023-04-21,2.2501523759474016,2.3301463883196902,3.0700745265367257,2.8980857979833203,2.30372446546017,2.6387843073391997,2.9278648553782567,1.947643413805578,2.003576066063678,1.8479125722445169
2023-04-28,2.304970540223642,2.3743931112599554,3.138002182807542,2.96200546157463,2.355955984805197,2.7020938279303466,3.0220122225707775,1.9792757120596252,2.0347881307045466,1.8788186965291893
2023-05-05,2.328258437070714,2.3934304652058587,3.1674699769550205,2.9896634403245526,2.37829022088424,2.7292515335968166,3.0706211255820057,1.9926072399642107,2.054284873089753,1.8917875907758939
2023-05-12,2.327701009688421,2.363366091134659,3.1376645173534183,2.954985577599282,2.36145925795721,2.715188173028678,3.041157913108728,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-05-19,2.327701009688421,2.335485264805948,3.1101195713528385,2.923009516009172,2.3458668835847916,2.702373057083239,3.0139279609296956,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-05-26,2.327701009688421,2.290753801198932,3.0990394285780787,2.887336418027397,2.32094580429539,2.697284341299109,3.0029168969239697,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-06-02,2.327701009688421,2.2944968989718006,3.139928018482288,2.9089260375154202,2.3230840596826843,2.716150354798424,3.0435471582945324,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-06-09,2.327701009688421,2.3209620966017126,3.1412240356170575,2.927832307973742,2.338060853599071,2.716745099556769,3.0448329018872426,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-06-16,2.327701009688421,2.299021842699725,3.1386356056604883,2.911518351298957,2.325706616199873,2.715555865309964,3.0422625567706523,1.992289195707031,2.0538017233997015,1.8914781111753294
2023-06-21,2.3531642845116414,2.319945568647649,3.1704228126343366,2.9403911793520647,2.3496104851223456,2.744799991920664,3.0505841156789075,2.0068186125311764,2.071725898367448,1.9055944168340404
2023-06-30,2.3526009824090806,2.3420444483282044,3.168313664708481,2.9545936817568417,2.3617157318942583,2.743514084820446,3.048507741526398,2.0064983501079823,2.0712392548001692,1.9052832077487876
2023-07-07,2.3526009824090806,2.354932361052123,3.170980642654319,2.964297288946826,2.3686561210618,2.744727960242499,3.0511351369325057,2.0064983501079823,2.0712392548001692,1.9052832077487876
2023-07-14,2.3526009824090806,2.3778798551776332,3.190285211764775,2.9883851606924776,2.380963527057429,2.7535144803622735,3.070165443695682,2.0064983501079823,2.0712392548001692,1.9052832077487876
2023-07-21,2.3526009824090806,2.373571004229121,3.232384830100175,3.005371665496463,2.3786689805023418,2.772580437084298,3.111635400814363,2.0064983501079823,2.0712392548001692,1.9052832077487876
2023-07-28,2.3526009824090806,2.4510015351564984,3.2036990779157497,3.0428155905046044,2.4199794641635908,2.759663734808859,3.0833755200187904,2.0064983501079823,2.0712392548001692,1.9052832077487876
