trade_week,A7_lam10_m4_t4_b,A2_lam10_m4_t4,B6_m4_K10_t8,B2_m4_K8_t4,B1_m4_K10_t4,A8_pure_m4,C1_rev1w,G_top3_1each,G_top2_1each,G_top3_mom_within
2023-11-24,2.2391617202840424,2.0415738551423135,1.3125389245000898,1.485871071464991,1.3338583648187579,1.4957729956470565,0.8638468216815697,2.291904130043926,2.0282396515107837,2.291904130043926
2023-12-01,2.2751914203829,2.0744242263611974,1.3194705344827153,1.4937180606548803,1.3409025642587917,1.5395097283865615,0.8587389415607328,2.321273220292183,2.0605534421427296,2.321273220292183
2023-12-08,2.2892395017908354,2.0872326784964517,1.3213056042530054,1.4957954673015688,1.3427674408864008,1.5545980694645043,0.8382774136920507,2.2983416411429585,2.0452238672700567,2.2983416411429585
2023-12-15,2.2417921627016733,2.043972182346036,1.2939199003996693,1.4647932437729387,1.314936913745932,1.555869495670994,0.8417775212342993,2.2904804705780313,2.035460139825194,2.2904804705780313
2023-12-22,2.244032634097103,2.046014950308112,1.243197800033458,1.4399951050088935,1.263390939305276,1.4927635122049285,0.8432217813808276,2.2759116737013962,2.008727547143242,2.2759116737013962
2023-12-29,2.2409917046154684,2.04324235819527,1.277178829099223,1.4683810596003357,1.28867018944928,1.4904918472707178,0.8632551947081654,2.290083346724058,2.0033032990118627,2.290083346724058
2024-01-05,2.173067182687126,1.981311624548058,1.2327549180854955,1.417306591374195,1.2438465762497768,1.4606703971670083,0.8598836589470248,2.2202891751776077,1.9245971396650938,2.2202891751776077
2024-01-12,2.16150558028499,1.9707702398084341,1.2272219745786912,1.4229078316332118,1.2382638503270846,1.4461367926712916,0.821427975770687,2.1981973981410237,1.8963538069973425,2.1981973981410237
2024-01-19,2.11672092065687,1.9299374632474722,1.2005833131679529,1.4052209950574703,1.2113855087317555,1.4298881514685173,0.7980334156312867,2.150792625647912,1.870099126012376,2.150792625647912
2024-01-26,2.1192345820510394,1.932229314406113,1.2131032169538871,1.4299062479871238,1.224018059801433,1.4323579648311935,0.790373646119524,2.1544791102593015,1.8800530085031555,2.1544791102593015
2024-02-02,2.0387087850473677,1.8588092660291073,1.1448109265140938,1.331665375761291,1.155111312481605,1.4021885240120324,0.7111115406565137,2.0285551157208213,1.7467367425911289,2.0285551157208213
2024-02-08,2.041200218005482,1.861080850230931,1.1836033226411524,1.3830836433319404,1.1942527414868962,1.4039020883660174,0.7699530765818806,2.060258315691983,1.780253460890478,2.060258315691983
2024-02-23,2.201001494043188,2.0067809594376813,1.2214289009153583,1.4605587303216883,1.23241865373822,1.4629765777660628,0.7867018709174809,2.188525450302809,1.890872515951239,2.188525450302809
2024-03-01,2.2777465553728713,2.076753891407106,1.2667514631134122,1.5677481476957709,1.2781490036965621,1.4433688650703818,0.8062388394903085,2.15955823921515,1.860280676164499,2.15955823921515
2024-03-08,2.2991784796565504,2.096294622157629,1.2679995048953594,1.5692927404978076,1.279408274679559,1.456709345854415,0.8181322145674221,2.2134572979448452,1.9172233136007657,2.2134572979448452
2024-03-15,2.322838306626382,2.117866661247629,1.2884257089365256,1.5945724772752872,1.30001826259333,1.47169969626575,0.8493438247518937,2.237147927726728,1.9433079845341095,2.237147927726728
2024-03-22,2.3279279577385488,2.1225071919195617,1.3143489374566424,1.6266554033094278,1.3261747342220658,1.4842743182536853,0.8474731478399512,2.2029366295884527,1.9124369110724464,2.2029366295884527
2024-03-29,2.215677712750736,2.0201621208492293,1.2604410547995484,1.559938303986612,1.2717818177613986,1.3995470913463621,0.8346076380045955,2.150688148018589,1.8542910600680842,2.150688148018589
2024-04-03,2.2876543889768066,2.0857874390350672,1.3041253258847423,1.6140025281627803,1.3158591361546377,1.4447783644073628,0.8210329242861089,2.2190200199159933,1.897436521265087,2.2190200199159933
2024-04-12,2.1908783137213756,1.9975510676935146,1.261128092931442,1.5550329835362728,1.272475037488671,1.3982332941699465,0.8049832565400258,2.125517263997049,1.8022933059430606,2.125517263997049
2024-04-19,2.2209598255423453,2.024978130018006,1.2592362037830636,1.5695956151706154,1.2705661261508772,1.4174315175964236,0.79813574295007,2.146666910922673,1.832182365434298,2.146666910922673
2024-04-26,2.1682618645666296,1.9769303367868483,1.229357599243261,1.5249078490800554,1.2404186901806586,1.3921150406025293,0.8565049690792733,2.0972699339339633,1.7744149545006567,2.0972699339339633
2024-04-30,2.1922638872072833,1.9988143755544798,1.239076053226878,1.5479146476312056,1.2502245855266179,1.4063120912054803,0.8572599617124772,2.111295662963784,1.7916311653281647,2.111295662963784
2024-05-10,2.199563792101839,2.005470123034774,1.2512312838936739,1.5630995586344238,1.262489182346804,1.4153345894909453,0.8664783366657106,2.1309398127962513,1.8381796526089775,2.1309398127962513
2024-05-17,2.1937131672537906,2.0001357683886494,1.2481116694378849,1.5592023830748591,1.2593414992971361,1.4008195859322636,0.8609031039338638,2.1337468606202994,1.850027330185652,2.1337468606202994
2024-05-24,2.043669266260928,1.8633320249985865,1.1954234806849993,1.516824109392575,1.2061792508829434,1.3052408784108995,0.8430843078034945,2.0359871554315863,1.797674444118996,2.0359871554315863
2024-05-31,1.9592945060913618,1.786402653245019,1.159114752623561,1.4707534449001811,1.1695438366374722,1.2513528115413886,0.8186445900521394,1.9844431866422683,1.7241363239946885,1.9844431866422683
2024-06-07,1.9333746070434163,1.7627699751115695,1.1464994776103228,1.4441667012927852,1.1568150562420672,1.2266177793136532,0.7983577136194909,1.9510999340648656,1.7014060973909402,1.9510999340648656
2024-06-14,1.9445276702880303,1.7729388709616039,1.1441280841697798,1.4522569751384218,1.1544223262933264,1.223842237628997,0.805309476939961,1.9170072876844149,1.669295797048049,1.9170072876844149
2024-06-21,1.9418750526747117,1.7705203253434008,1.1459471489820612,1.4545659382680012,1.1562577580612616,1.236103757093208,0.7835758631646885,1.9082025011535118,1.6776229603446444,1.9082025011535118
2024-06-28,1.890116823471613,1.7233293401759224,1.1131072282063141,1.412881790601808,1.1231223615424917,1.1941380286998045,0.75921087256528,1.8680195773357675,1.6275019408116007,1.8680195773357675
2024-07-05,1.848937311929305,1.6857835866152362,1.0976091949296425,1.3932099310972792,1.107484885392949,1.1672748542683842,0.7492223416983189,1.853566484737312,1.609266239761363,1.853566484737312
2024-07-12,1.905693265621213,1.7375312876103963,1.1153514320682096,1.431399399916725,1.125386757529944,1.2201838736270483,0.750496832027484,1.8914604200053677,1.6308472683864916,1.8914604200053677
2024-07-19,1.9069501955944175,1.7386773037055239,1.105210253724444,1.4183845992195157,1.1151543343799952,1.2253476306490385,0.742123901952467,1.8916420703847157,1.6345002034416967,1.8916420703847157
2024-07-26,1.811424473033289,1.6515809515717266,1.0482035373855896,1.363540906947558,1.0720354361741562,1.1646538258857535,0.7245439612378757,1.8331887786396357,1.5791015682154723,1.8331887786396357
2024-08-02,1.8067198928786559,1.6472915124677472,1.0467059778266108,1.3844292100272182,1.0574904421202043,1.1826386917075165,0.7213359794625025,1.8551141941174996,1.5850505395679766,1.8551141941174996
2024-08-09,1.7667414470877656,1.6108408403449885,1.0255888623774885,1.3747782748284811,1.036155751934366,1.1416088661053228,0.6979851293002467,1.8047503966165845,1.5373527026503533,1.8047503966165845
2024-08-16,1.7235948500071097,1.5715015805942223,1.0005423738330832,1.3518751535496873,1.010851203373959,1.1292666928225215,0.7030934987649872,1.7718318518156688,1.5115878887070382,1.7718318518156688
2024-08-23,1.6411796616215502,1.4963588643042873,0.9843640726175482,1.3439167433085226,0.9945062132166523,1.0768065394501207,0.6826354231259116,1.7123718525022613,1.4597959249752268,1.7123718525022613
2024-08-30,1.6181128515569263,1.475327513186202,0.993037858634175,1.3433209381149682,1.003269367343874,1.0586076528033845,0.7059598873095914,1.6740040909156504,1.4086870205255229,1.6740040909156504
2024-09-06,1.5843642523882404,1.4445569542371473,0.9614691795796998,1.3003928711906643,0.9713754285705559,1.0371538641893376,0.6859225991055532,1.6394111716975885,1.369508979216058,1.6394111716975885
2024-09-13,1.5774835667503144,1.4382834333134058,0.947765470037967,1.2805738562401139,0.9575305264022658,1.033247439907038,0.6685779287155824,1.6080121927325637,1.3546550059484634,1.6080121927325637
2024-09-20,1.596331000328913,1.455467733706732,0.9803254477114378,1.3095019059471567,0.9904259773834834,1.0484399399275972,0.6720301271566628,1.6211643965122229,1.363008711818479,1.6211643965122229
2024-09-27,1.8789493004298419,1.7131472604885798,1.1542114104732708,1.5482067728346198,1.1661035291839648,1.244102839542465,0.779032485716883,1.9393815807946941,1.6731483801826732,1.9393815807946941
2024-09-30,2.066667429301984,1.8843007866362962,1.26938153134272,1.7024327085882578,1.2824602756030115,1.3683535992480877,0.8031398731659541,2.132761751720349,1.8401594230777578,2.132761751720349
2024-10-11,2.008063166291746,1.8308678746327771,1.2367277775269134,1.6586390837547413,1.2494700822812326,1.265951192272852,0.793078278007839,1.9727984700283603,1.7328045266037027,1.9727984700283603
2024-10-18,2.1989655557388077,2.0049246761798654,1.354300915557941,1.8163224523032493,1.3682546047275992,1.3782847005688357,0.7848421691240699,2.096867542453833,1.8555552044320438,2.096867542453833
2024-10-25,2.170005106373471,1.978519751639648,1.3550232528719706,1.817291215941032,1.3689843844572984,1.371845406712936,0.7995198483248506,2.121750438103291,1.9060444907973173,2.121750438103291
