ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
002151.SZ,通信设备,s4,1380202.0093,0.1889930101607027,-0.05996239275887836,0.8254993947572394,0.22630565578395376,0.7885596874706938,0.0013679890560875513
002125.SZ,化工原料,s4,598007.6274,0.04098529180065917,-0.0,0.5832567812543177,0.46756596747061185,0.7878159638955234,0.0013679890560875513
002706.SZ,电气设备,s4,898500.016,0.034819210580146295,-0.0,0.5820767288345123,0.46838759274873404,0.7875445903616082,0.0013679890560875513
300065.SZ,船舶,s3,982034.0076,0.062381905034964574,0.005501491776397347,0.561459364886824,0.488450397879605,0.7871247209700862,0.0013679890560875513
000572.SZ,汽车整车,s1,593713.7498,0.11402061440995724,-0.0,0.5832691006585513,0.4664201264848805,0.7869577483153763,0.0013679890560875513
300503.SZ,机械基件,s5,656832.3061,0.026841498799110776,-0.0,0.5755742415613387,0.47345962819436116,0.7864615619790095,0.0013679890560875513
000410.SZ,机床制造,s5,1387509.7172,0.09888064566586473,-0.0,0.5824609544880862,0.4664201264848805,0.7863458820343541,0.0013679890560875513
002685.SZ,机床制造,s4,688252.7078,0.09861749112524379,-0.0,0.5816912474834377,0.4664201264848805,0.785763118940717,0.0013679890560875513
002293.SZ,纺织,s5,692296.7592,0.1168522919686669,0.010597191824415814,0.5392480453823064,0.5088557096689593,0.7857573504812322,0.0013679890560875513
000581.SZ,汽车配件,s5,1890286.0115,0.004346911272343408,0.011517908062193884,0.530779683975621,0.5165113978555087,0.7851420566655049,0.0013679890560875513
601699.SH,煤炭开采,s4,3416189.3064,0.1530153930579726,-0.0,0.5808303772036018,0.4664201264848805,0.7851113340089608,0.0013679890560875513
300267.SZ,化学制药,s3,490899.9591,0.11201554750242908,-0.0,0.5801838963454578,0.4664201264848805,0.7846218682998096,0.0013679890560875513
300328.SZ,小金属,s2,652450.302,0.018869701188607008,-0.0,0.5799899428304888,0.4664201264848805,0.7844750215779758,0.0013679890560875513
688519.SH,元器件,s4,795104.4891,0.06491675689565989,-0.015897868214742733,0.6433495116530586,0.40291465118638425,0.7843645523880386,0.0013679890560875513
688660.SH,电气设备,s4,940000.047,0.03320238146160212,-0.0,0.5773476267071971,0.46838759274873404,0.7839640770374539,0.0013679890560875513
002099.SZ,化学制药,s4,785076.8977,0.1116459579323224,-0.0,0.5791028749795147,0.4664201264848805,0.7838034018551756,0.0013679890560875513
300663.SZ,软件服务,s4,706179.564,0.20294344091237426,-0.03517885630849048,0.7082856832628945,0.33706952174477195,0.7836763592511274,0.0013679890560875513
688158.SH,软件服务,s4,929298.0111,0.17057053688021484,-0.0,0.5672858397245197,0.4779403588433539,0.7835786854720159,0.0013679890560875513
603267.SH,元器件,s4,1222186.8378,0.04471778239439472,0.005676024096385542,0.5558678786449609,0.48930552878321515,0.7835387160710606,0.0013679890560875513
600505.SH,水力发电,s1,491072.4225,0.10257076498304168,-0.0,0.5774754014370749,0.4664201264848805,0.7825712037451461,0.0013679890560875513
603118.SH,通信设备,s3,685717.7496,0.12635618156151712,0.004868789648304845,0.5569437689765693,0.48591679423891654,0.7817876078696966,0.0013679890560875513
600256.SH,石油开采,s4,3617731.0816,0.0769662774371503,-0.0,0.5761807616859441,0.4664201264848805,0.7815910018475958,0.0013679890560875513
600590.SH,通信设备,s4,753083.9893,0.13073021129901516,-0.0,0.5761470406972126,0.4664201264848805,0.7815654709019306,0.0013679890560875513
601616.SH,电气设备,s2,343177.4782,-0.015517727498562808,0.08753940731635625,0.367019992498361,0.6746982244478696,0.7809227109129907,0.0013679890560875513
603611.SH,专用机械,s3,426586.9099,0.019880436170702707,0.03587009952447358,0.42998010849404034,0.6106147168621857,0.7800721649852507,0.0013679890560875513
002630.SZ,专用机械,s4,520732.8,0.05249567879726454,-0.0,0.5725987681350457,0.46697585315067613,0.7792997447309497,0.0013679890560875513
002191.SZ,广告包装,s4,521188.6014,0.10506829983579394,0.012991282712264442,0.5207900824705329,0.5184426497475068,0.7790408925579022,0.0013679890560875513
300455.SZ,IT设备,s4,857014.9156,0.13633077018950276,-0.0,0.5707530472092502,0.4664201264848805,0.7774815528485443,0.0013679890560875513
301047.SZ,生物制药,s3,737848.477,0.07848565280206889,0.05853914860681114,0.36209596186015697,0.6746982244478696,0.7771946126748918,0.0013679890560875513
600078.SH,化工原料,s2,336587.0134,0.035699837979041776,-0.0,0.567797231061318,0.46756596747061185,0.7761111785131675,0.0013679890560875513
