rebal_date,phase,top_n
2023-04-07,3,515880.SS;512980.SS;512760.SS
2023-05-11,3,518880.SS;512980.SS;510880.SS
2023-06-09,3,515880.SS;518880.SS;512980.SS
2023-07-12,3,518880.SS;515880.SS;159980.SZ
2023-08-10,3,512880.SS;518880.SS;510180.SS
2023-09-08,3,518880.SS;159980.SZ;510880.SS
2023-10-17,3,510880.SS;518880.SS;515220.SS
2023-11-15,3,518880.SS;515220.SS;512290.SS
2023-12-14,3,515220.SS;518880.SS;512980.SS
2024-01-15,3,518880.SS;515220.SS;510880.SS
2024-02-21,3,510880.SS;515220.SS;518880.SS
2024-03-21,3,518880.SS;159980.SZ;512980.SS
2024-04-23,3,159980.SZ;510880.SS;510050.SS
2024-05-27,3,510880.SS;159980.SZ;510180.SS
2024-06-26,3,510880.SS;515880.SS;518880.SS
2024-07-25,3,518880.SS;512480.SS;512760.SS
2024-08-23,3,518880.SS;159980.SZ;510050.SS
2024-09-25,3,518880.SS;510050.SS;512880.SS
2024-10-31,3,518880.SS;512660.SS;515880.SS
2024-11-29,3,512980.SS;512480.SS;518880.SS
2024-12-30,3,510880.SS;512480.SS;512760.SS
2025-02-06,3,518880.SS;512480.SS;512760.SS
2025-03-07,3,515210.SS;512480.SS;518880.SS
2025-04-08,3,518880.SS;510880.SS;510050.SS
2025-05-12,3,518880.SS;510050.SS;515210.SS
2025-06-11,3,510880.SS;510050.SS;510180.SS
2025-07-10,3,510880.SS;515210.SS;515880.SS
2025-08-08,3,515880.SS;510500.SS;512660.SS
2025-09-08,3,512010.SS;512290.SS;512980.SS
2025-10-15,3,518880.SS;515210.SS;510050.SS
2025-11-13,3,510050.SS;510880.SS;515210.SS
2025-12-12,3,159980.SZ;515880.SS;159949.SZ
2026-01-14,3,159980.SZ;512980.SS;518880.SS
2026-02-12,3,159915.SZ;159949.SZ;510180.SS
2026-03-23,3,159949.SZ;159915.SZ;510880.SS
2026-04-22,3,159915.SZ;159949.SZ;510300.SS
2019-01-08,4,
2019-02-13,4,
2019-03-14,4,
2019-04-15,4,
2019-05-21,4,
2019-06-20,4,
2019-07-19,4,
2019-08-19,4,
2019-09-18,4,
2019-10-24,4,
2019-11-22,4,159949.SZ;512010.SS;159915.SZ
2019-12-23,4,159949.SZ;510300.SS;510050.SS
2020-01-22,4,159915.SZ;159949.SZ;512010.SS
2020-02-28,4,518880.SS;159949.SZ;159915.SZ
2020-03-30,4,518880.SS;512290.SS;512010.SS
2020-04-29,4,518880.SS;512010.SS;512290.SS
2020-06-02,4,512290.SS;518880.SS;512010.SS
2020-07-03,4,159915.SZ;159949.SZ;510050.SS
2020-08-03,4,159949.SZ;512010.SS;512290.SS
2020-09-01,4,510300.SS;510180.SS;512690.SS
2020-09-30,4,512690.SS;159980.SZ;510300.SS
2020-11-06,4,510300.SS;512690.SS;159949.SZ
2020-12-07,4,512690.SS;510300.SS;510180.SS
2021-01-06,4,159915.SZ;159949.SZ;510050.SS
2021-02-04,4,159949.SZ;512010.SS;512690.SS
2021-03-12,4,515220.SS;515210.SS;159980.SZ
2021-04-13,4,515210.SS;515220.SS;510880.SS
2021-05-17,4,510880.SS;159980.SZ;510500.SS
2021-06-16,4,515220.SS;510880.SS;510500.SS
2021-07-15,4,159915.SZ;159949.SZ;510500.SS
2021-08-13,4,510500.SS;515210.SS;515220.SS
2021-09-13,4,159980.SZ;510500.SS;510880.SS
2021-10-21,4,159980.SZ;515220.SS;159949.SZ
2021-11-19,4,512660.SS;159949.SZ;159915.SZ
2021-12-20,4,512660.SS;159949.SZ;515880.SS
2022-01-19,4,159980.SZ;510500.SS;512980.SS
2022-02-24,4,159980.SZ;515220.SS;518880.SS
2022-03-25,4,159980.SZ;515220.SS;518880.SS
2022-04-27,4,159980.SZ;518880.SS;515220.SS
2022-05-31,4,515220.SS;510880.SS;512660.SS
