ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
300027.SZ,影视音像,s3,646459.8791,0.42134665374147856,-0.0,1.072721981725819,0.4664201264848805,1.1575339200763315,0.01
301060.SZ,医疗保健,s2,349651.341,0.2998605765530756,-0.0,1.0719403547118376,0.4665819237188274,1.1570646325189107,0.01
600751.SH,水运,s3,878499.3482,0.1880032313340045,-0.0,1.0713407703062638,0.4664201264848805,1.1564881727530445,0.01
688047.SH,半导体,s5,5577910.0,0.19935655955139184,-0.0,1.0180021635377436,0.515840583961184,1.1535216507010513,0.01
002354.SZ,互联网,s4,896785.5144,0.361113130571559,-0.0,1.064173043863146,0.4664201264848805,1.1510613201830309,0.01
600340.SH,园区开发,s3,892328.238,0.2550488396676463,-0.0,1.0634518623758455,0.4664201264848805,1.1505152968883556,0.01
300671.SZ,半导体,s2,702161.4254,0.19460628449358727,-0.0,1.0041079705005576,0.515840583961184,1.1430020336662086,0.01
002437.SZ,化学制药,s3,536743.7445,0.3065823102242113,-0.03713486545418217,1.198163441342142,0.3177166116178752,1.1399216764558777,0.01
600609.SH,汽车配件,s4,654888.3961,0.17437743566006841,-0.0,1.0432688952152047,0.4703888822138003,1.1382391399120437,0.01
300894.SZ,家用电器,s3,519845.1956,0.2242425699800067,-0.0067172320987654325,1.0659442138768036,0.4395215229475572,1.1320367552421244,0.01
002214.SZ,电器仪表,s4,494970.5343,0.2015916048014736,-0.0,1.0036708174480857,0.49598458916884913,1.1276376189652273,0.01
603800.SH,专用机械,s4,565760.0,0.20972085781528638,-0.0,1.0324704515638672,0.46697585315067613,1.127479303046589,0.01
600094.SH,区域地产,s4,827930.6812,0.4638463989689882,-0.0,1.025225840175875,0.4664201264848805,1.1215734854975927,0.01
688110.SH,半导体,s3,1305963.5354,0.18336767389158673,-0.0,0.9712358897739037,0.515840583961184,1.1181138160160475,0.01
300359.SZ,文教休闲,s3,336933.3805,0.2488212511266676,-0.0,1.017357554547806,0.4664201264848805,1.1156162232581437,0.01
002285.SZ,房产服务,s4,476286.1401,0.3489292738364669,0.020038578563814018,0.934747890526567,0.5466629664395405,1.1138242456526344,0.01
300158.SZ,化学制药,s2,387048.1061,0.2393849389665363,0.021581527246088073,0.9243184524052177,0.552841577550887,1.1106058455550603,0.01
002530.SZ,专用机械,s4,696603.1685,0.20033079975199902,-0.0,1.0050052463338366,0.46697585315067613,1.1066847567184925,0.01
000903.SZ,汽车配件,s4,627825.6737,0.1499988991190585,0.010671643421149579,0.9579147376618987,0.513122600694355,1.1059702131955196,0.01
002189.SZ,元器件,s3,454486.735,0.19090336602070926,0.0020161469575508337,0.9882676681451146,0.47464985175652413,1.099822509596873,0.01
300648.SZ,电气设备,s3,425246.616,0.1726859739989195,-0.0,0.9853265198556249,0.46838759274873404,1.0928543956571901,0.01
000016.SZ,家用电器,s4,1170261.4683,0.20000869515202943,-0.0,0.9862190057975984,0.4664201264848805,1.0920405030276645,0.01
300869.SZ,医疗保健,s3,506271.751,0.26984758667687603,-1.537344249630659e-05,0.9841748819063421,0.46652036203261027,1.0905687399049222,0.01
